|provider    |sport_code|external_league_id|season|missing_provider_team_id|team_name          |usage_count|
|api_football|football  |39                |2024  |42                      |Arsenal            |1          |
|api_football|football  |39                |2024  |45                      |Everton            |1          |
|api_football|football  |39                |2024  |49                      |Chelsea            |1          |
|api_football|football  |39                |2024  |50                      |Manchester City    |1          |
|api_football|football  |39                |2024  |52                      |Crystal Palace     |1          |
|api_football|football  |39                |2024  |55                      |Brentford          |1          |
|api_football|football  |39                |2024  |65                      |Nottingham Forest  |1          |
|api_football|football  |39                |2024  |66                      |Aston Villa        |1          |
|api_football|football  |40                |2022  |38                      |Watford            |1          |
|api_football|football  |40                |2022  |44                      |Burnley            |1          |
|api_football|football  |40                |2022  |56                      |Bristol City       |1          |
|api_football|football  |40                |2022  |58                      |Millwall           |1          |
|api_football|football  |40                |2022  |64                      |Hull City          |1          |
|api_football|football  |40                |2022  |746                     |Sunderland         |1          |
|api_football|football  |40                |2022  |75                      |Stoke City         |1          |
|api_football|football  |40                |2023  |38                      |Watford            |1          |
|api_football|football  |40                |2023  |56                      |Bristol City       |1          |
|api_football|football  |40                |2023  |58                      |Millwall           |1          |
|api_football|football  |40                |2023  |63                      |Leeds              |1          |
|api_football|football  |40                |2023  |64                      |Hull City          |1          |
|api_football|football  |40                |2023  |74                      |Sheffield Wednesday|1          |
|api_football|football  |40                |2023  |746                     |Sunderland         |1          |
|api_football|football  |40                |2023  |75                      |Stoke City         |1          |
|api_football|football  |40                |2024  |1338                    |Oxford United      |1          |
|api_football|football  |40                |2024  |1355                    |Portsmouth         |1          |
|api_football|football  |40                |2024  |38                      |Watford            |1          |
|api_football|football  |40                |2024  |44                      |Burnley            |1          |
|api_football|football  |40                |2024  |56                      |Bristol City       |1          |
|api_football|football  |40                |2024  |58                      |Millwall           |1          |
|api_football|football  |40                |2024  |63                      |Leeds              |1          |
|api_football|football  |40                |2024  |64                      |Hull City          |1          |
|api_football|football  |40                |2024  |74                      |Sheffield Wednesday|1          |
|api_football|football  |40                |2024  |746                     |Sunderland         |1          |
|api_football|football  |40                |2024  |75                      |Stoke City         |1          |
|api_football|football  |41                |2022  |1338                    |Oxford United      |1          |
|api_football|football  |41                |2022  |1355                    |Portsmouth         |1          |
|api_football|football  |41                |2022  |74                      |Sheffield Wednesday|1          |
|api_football|football  |41                |2023  |1338                    |Oxford United      |1          |
|api_football|football  |41                |2023  |1355                    |Portsmouth         |1          |
|api_football|football  |61                |2022  |108                     |Auxerre            |1          |
|api_football|football  |61                |2022  |77                      |Angers             |1          |
|api_football|football  |61                |2022  |79                      |Lille              |1          |
|api_football|football  |61                |2022  |80                      |Lyon               |1          |
|api_football|football  |61                |2022  |81                      |Marseille          |1          |
|api_football|football  |61                |2022  |83                      |Nantes             |1          |
|api_football|football  |61                |2022  |84                      |Nice               |1          |
|api_football|football  |61                |2022  |85                      |Paris Saint Germain|1          |
|api_football|football  |61                |2022  |94                      |Rennes             |1          |
|api_football|football  |61                |2022  |95                      |Strasbourg         |1          |
|api_football|football  |61                |2022  |96                      |Toulouse           |1          |
|api_football|football  |61                |2022  |97                      |Lorient            |1          |
|api_football|football  |61                |2023  |112                     |Metz               |1          |
|api_football|football  |61                |2023  |79                      |Lille              |1          |
|api_football|football  |61                |2023  |80                      |Lyon               |1          |
|api_football|football  |61                |2023  |81                      |Marseille          |1          |
|api_football|football  |61                |2023  |83                      |Nantes             |1          |
|api_football|football  |61                |2023  |84                      |Nice               |1          |
|api_football|football  |61                |2023  |85                      |Paris Saint Germain|1          |
|api_football|football  |61                |2023  |94                      |Rennes             |1          |
|api_football|football  |61                |2023  |95                      |Strasbourg         |1          |
|api_football|football  |61                |2023  |96                      |Toulouse           |1          |
|api_football|football  |61                |2023  |97                      |Lorient            |1          |
|api_football|football  |61                |2024  |108                     |Auxerre            |1          |
|api_football|football  |61                |2024  |112                     |Metz               |1          |
|api_football|football  |61                |2024  |77                      |Angers             |1          |
|api_football|football  |61                |2024  |79                      |Lille              |1          |
|api_football|football  |61                |2024  |80                      |Lyon               |1          |
|api_football|football  |61                |2024  |81                      |Marseille          |1          |
|api_football|football  |61                |2024  |83                      |Nantes             |1          |
|api_football|football  |61                |2024  |84                      |Nice               |1          |
|api_football|football  |61                |2024  |85                      |Paris Saint Germain|1          |
|api_football|football  |61                |2024  |94                      |Rennes             |1          |
|api_football|football  |61                |2024  |95                      |Strasbourg         |1          |
|api_football|football  |61                |2024  |96                      |Toulouse           |1          |
|api_football|football  |62                |2022  |112                     |Metz               |1          |
|api_football|football  |62                |2023  |108                     |Auxerre            |1          |
|api_football|football  |62                |2023  |77                      |Angers             |1          |
|api_football|football  |62                |2024  |112                     |Metz               |1          |
|api_football|football  |62                |2024  |97                      |Lorient            |1          |
|api_football|football  |78                |2022  |160                     |SC Freiburg        |1          |
|api_football|football  |78                |2022  |161                     |VfL Wolfsburg      |1          |
|api_football|football  |78                |2022  |164                     |FSV Mainz 05       |1          |
|api_football|football  |78                |2022  |165                     |Borussia Dortmund  |1          |
|api_football|football  |78                |2022  |168                     |Bayer Leverkusen   |1          |
|api_football|football  |78                |2022  |169                     |Eintracht Frankfurt|1          |
|api_football|football  |78                |2022  |172                     |VfB Stuttgart      |1          |
|api_football|football  |78                |2022  |173                     |RB Leipzig         |1          |
|api_football|football  |78                |2022  |175                     |Hamburger SV       |1          |
|api_football|football  |78                |2023  |160                     |SC Freiburg        |1          |
|api_football|football  |78                |2023  |161                     |VfL Wolfsburg      |1          |
|api_football|football  |78                |2023  |164                     |FSV Mainz 05       |1          |
|api_football|football  |78                |2023  |165                     |Borussia Dortmund  |1          |
|api_football|football  |78                |2023  |168                     |Bayer Leverkusen   |1          |
|api_football|football  |78                |2023  |169                     |Eintracht Frankfurt|1          |
|api_football|football  |78                |2023  |172                     |VfB Stuttgart      |1          |
|api_football|football  |78                |2023  |173                     |RB Leipzig         |1          |
|api_football|football  |78                |2023  |180                     |1. FC Heidenheim   |1          |
|api_football|football  |78                |2024  |160                     |SC Freiburg        |1          |
|api_football|football  |78                |2024  |161                     |VfL Wolfsburg      |1          |
|api_football|football  |78                |2024  |164                     |FSV Mainz 05       |1          |
|api_football|football  |78                |2024  |165                     |Borussia Dortmund  |1          |
|api_football|football  |78                |2024  |168                     |Bayer Leverkusen   |1          |
|api_football|football  |78                |2024  |169                     |Eintracht Frankfurt|1          |
|api_football|football  |78                |2024  |172                     |VfB Stuttgart      |1          |
|api_football|football  |78                |2024  |173                     |RB Leipzig         |1          |
|api_football|football  |78                |2024  |180                     |1. FC Heidenheim   |1          |
|api_football|football  |78                |2024  |186                     |FC St. Pauli       |1          |
|api_football|football  |79                |2022  |175                     |Hamburger SV       |1          |
|api_football|football  |79                |2022  |180                     |1. FC Heidenheim   |1          |
|api_football|football  |79                |2022  |186                     |FC St. Pauli       |1          |
|api_football|football  |79                |2023  |175                     |Hamburger SV       |1          |
|api_football|football  |79                |2023  |186                     |FC St. Pauli       |1          |
|api_football|football  |79                |2024  |175                     |Hamburger SV       |1          |
|api_football|football  |88                |2022  |196                     |Excelsior          |1          |
|api_football|football  |88                |2022  |197                     |PSV Eindhoven      |1          |
|api_football|football  |88                |2022  |201                     |AZ Alkmaar         |1          |
|api_football|football  |88                |2022  |202                     |Groningen          |1          |
|api_football|football  |88                |2022  |205                     |Fortuna Sittard    |1          |
|api_football|football  |88                |2022  |210                     |Heerenveen         |1          |
|api_football|football  |88                |2022  |413                     |NEC Nijmegen       |1          |
|api_football|football  |88                |2022  |416                     |FC Volendam        |1          |
|api_football|football  |88                |2022  |426                     |Sparta Rotterdam   |1          |
|api_football|football  |88                |2023  |196                     |Excelsior          |1          |
|api_football|football  |88                |2023  |197                     |PSV Eindhoven      |1          |
|api_football|football  |88                |2023  |201                     |AZ Alkmaar         |1          |
|api_football|football  |88                |2023  |205                     |Fortuna Sittard    |1          |
|api_football|football  |88                |2023  |210                     |Heerenveen         |1          |
|api_football|football  |88                |2023  |413                     |NEC Nijmegen       |1          |
