|provider    |sport_code|external_league_id|season|missing_provider_team_id|total_usage_count|
|------------|----------|------------------|------|------------------------|-----------------|
|api_hockey  |hockey    |37                |2024  |404                     |73               |
|api_hockey  |hockey    |37                |2024  |410                     |71               |
|api_hockey  |hockey    |37                |2024  |394                     |66               |
|api_hockey  |hockey    |37                |2024  |407                     |64               |
|api_hockey  |hockey    |37                |2024  |401                     |62               |
|api_hockey  |hockey    |37                |2024  |1821                    |61               |
|api_hockey  |hockey    |37                |2024  |374                     |60               |
|api_hockey  |hockey    |37                |2024  |395                     |60               |
|api_hockey  |hockey    |37                |2024  |399                     |60               |
|api_hockey  |hockey    |37                |2024  |403                     |60               |
|api_hockey  |hockey    |37                |2024  |405                     |59               |
|api_hockey  |hockey    |37                |2024  |392                     |57               |
|api_hockey  |hockey    |37                |2024  |397                     |57               |
|api_hockey  |hockey    |37                |2024  |400                     |57               |
|api_hockey  |hockey    |37                |2024  |416                     |57               |
|api_hockey  |hockey    |37                |2024  |1437                    |56               |
|api_hockey  |hockey    |37                |2024  |393                     |56               |
|api_hockey  |hockey    |37                |2024  |402                     |56               |
|api_hockey  |hockey    |37                |2024  |406                     |56               |
|api_hockey  |hockey    |37                |2024  |418                     |56               |
|api_hockey  |hockey    |37                |2024  |389                     |55               |
|api_hockey  |hockey    |37                |2024  |391                     |55               |
|api_hockey  |hockey    |37                |2024  |1438                    |54               |
|api_hockey  |hockey    |37                |2024  |1462                    |54               |
|api_hockey  |hockey    |37                |2024  |2213                    |54               |
|api_hockey  |hockey    |37                |2024  |2350                    |54               |
|api_hockey  |hockey    |37                |2024  |2411                    |54               |
|api_hockey  |hockey    |37                |2024  |398                     |54               |
|api_hockey  |hockey    |37                |2024  |408                     |54               |
|api_hockey  |hockey    |37                |2024  |409                     |54               |
|api_hockey  |hockey    |37                |2024  |412                     |54               |
|api_hockey  |hockey    |37                |2024  |415                     |54               |
|api_hockey  |hockey    |37                |2024  |417                     |54               |
|api_hockey  |hockey    |37                |2024  |419                     |54               |
|api_hockey  |hockey    |37                |2024  |468                     |54               |
|api_hockey  |hockey    |37                |2024  |836                     |54               |
|api_hockey  |hockey    |37                |2024  |390                     |52               |
|api_hockey  |hockey    |37                |2024  |414                     |52               |
|api_football|football  |40                |2023  |63                      |49               |
|api_football|football  |40                |2024  |746                     |49               |
|api_football|football  |41                |2022  |74                      |49               |
|api_football|football  |41                |2023  |1338                    |49               |
|api_football|football  |40                |2022  |746                     |48               |
|api_football|football  |40                |2024  |56                      |48               |
|api_football|football  |141               |2022  |542                     |46               |
|api_football|football  |40                |2022  |38                      |46               |
|api_football|football  |40                |2022  |44                      |46               |
|api_football|football  |40                |2022  |56                      |46               |
|api_football|football  |40                |2022  |58                      |46               |
|api_football|football  |40                |2022  |64                      |46               |
|api_football|football  |40                |2022  |75                      |46               |
|api_football|football  |40                |2023  |38                      |46               |
|api_football|football  |40                |2023  |56                      |46               |
|api_football|football  |40                |2023  |58                      |46               |
|api_football|football  |40                |2023  |64                      |46               |
|api_football|football  |40                |2023  |74                      |46               |
|api_football|football  |40                |2023  |746                     |46               |
|api_football|football  |40                |2023  |75                      |46               |
|api_football|football  |40                |2024  |1338                    |46               |
|api_football|football  |40                |2024  |1355                    |46               |
|api_football|football  |40                |2024  |38                      |46               |
|api_football|football  |40                |2024  |44                      |46               |
|api_football|football  |40                |2024  |58                      |46               |
|api_football|football  |40                |2024  |63                      |46               |
|api_football|football  |40                |2024  |64                      |46               |
|api_football|football  |40                |2024  |74                      |46               |
|api_football|football  |40                |2024  |75                      |46               |
|api_football|football  |41                |2022  |1338                    |46               |
|api_football|football  |41                |2022  |1355                    |46               |
|api_football|football  |41                |2023  |1355                    |46               |
|api_football|football  |136               |2022  |490                     |43               |
|api_football|football  |136               |2022  |523                     |40               |
|api_football|football  |135               |2022  |504                     |39               |
|api_football|football  |135               |2022  |487                     |38               |
|api_football|football  |135               |2022  |488                     |38               |
|api_football|football  |135               |2022  |492                     |38               |
|api_football|football  |135               |2022  |494                     |38               |
|api_football|football  |135               |2022  |496                     |38               |
|api_football|football  |135               |2022  |497                     |38               |
|api_football|football  |135               |2022  |503                     |38               |
|api_football|football  |135               |2022  |867                     |38               |
|api_football|football  |135               |2023  |487                     |38               |
|api_football|football  |135               |2023  |488                     |38               |
|api_football|football  |135               |2023  |490                     |38               |
|api_football|football  |135               |2023  |492                     |38               |
|api_football|football  |135               |2023  |494                     |38               |
|api_football|football  |135               |2023  |495                     |38               |
|api_football|football  |135               |2023  |496                     |38               |
|api_football|football  |135               |2023  |497                     |38               |
|api_football|football  |135               |2023  |503                     |38               |
|api_football|football  |135               |2023  |504                     |38               |
|api_football|football  |135               |2023  |867                     |38               |
|api_football|football  |135               |2024  |487                     |38               |
|api_football|football  |135               |2024  |490                     |38               |
|api_football|football  |135               |2024  |492                     |38               |
|api_football|football  |135               |2024  |494                     |38               |
|api_football|football  |135               |2024  |495                     |38               |
|api_football|football  |135               |2024  |496                     |38               |
|api_football|football  |135               |2024  |497                     |38               |
|api_football|football  |135               |2024  |503                     |38               |
|api_football|football  |135               |2024  |504                     |38               |
|api_football|football  |135               |2024  |523                     |38               |
|api_football|football  |135               |2024  |867                     |38               |
|api_football|football  |135               |2024  |895                     |38               |
|api_football|football  |136               |2022  |495                     |38               |
|api_football|football  |136               |2022  |895                     |38               |
