|provider |sport_code|external_fixture_id|external_league_id|season   |home_team_external_id|home_canonical_team_id|home_canonical_team_name|away_team_external_id|away_canonical_team_id|away_canonical_team_name|fixture_date                 |status_text|home_score                                                                                           |away_score                                                                                           |
|api_sport|basketball|359448             |117               |2023-2024|1132                 |118,263               |Palencia                |2329                 |118,267               |Barcelona               |2023-09-29 19:00:00.000 +0200|AOT        |{'total': 83, 'over_time': 11, 'quarter_1': 18, 'quarter_2': 7, 'quarter_3': 23, 'quarter_4': 24}    |{'total': 84, 'over_time': 12, 'quarter_1': 19, 'quarter_2': 15, 'quarter_3': 16, 'quarter_4': 22}   |
|api_sport|basketball|359449             |117               |2023-2024|2335                 |118,272               |MoraBanc Andorra        |1120                 |118,261               |Breogan                 |2023-09-29 20:30:00.000 +0200|FT         |{'total': 63, 'over_time': None, 'quarter_1': 17, 'quarter_2': 23, 'quarter_3': 17, 'quarter_4': 6}  |{'total': 69, 'over_time': None, 'quarter_1': 17, 'quarter_2': 19, 'quarter_3': 13, 'quarter_4': 20} |
|api_sport|basketball|359450             |117               |2023-2024|1698                 |118,266               |Manresa                 |2338                 |118,275               |Real Madrid             |2023-09-29 21:00:00.000 +0200|FT         |{'total': 88, 'over_time': None, 'quarter_1': 26, 'quarter_2': 16, 'quarter_3': 25, 'quarter_4': 21} |{'total': 94, 'over_time': None, 'quarter_1': 22, 'quarter_2': 21, 'quarter_3': 30, 'quarter_4': 21} |
|api_sport|basketball|359451             |117               |2023-2024|2331                 |118,269               |Baskonia                |1695                 |118,265               |Bilbao                  |2023-09-30 18:00:00.000 +0200|FT         |{'total': 92, 'over_time': None, 'quarter_1': 18, 'quarter_2': 22, 'quarter_3': 27, 'quarter_4': 25} |{'total': 72, 'over_time': None, 'quarter_1': 20, 'quarter_2': 11, 'quarter_3': 16, 'quarter_4': 25} |
|api_sport|basketball|359452             |117               |2023-2024|2340                 |118,277               |Unicaja                 |2341                 |118,278               |Valencia                |2023-09-30 20:45:00.000 +0200|FT         |{'total': 76, 'over_time': None, 'quarter_1': 26, 'quarter_2': 12, 'quarter_3': 17, 'quarter_4': 21} |{'total': 82, 'over_time': None, 'quarter_1': 21, 'quarter_2': 16, 'quarter_3': 21, 'quarter_4': 24} |
|api_sport|basketball|359453             |117               |2023-2024|2336                 |118,273               |Murcia                  |2339                 |118,276               |Tenerife                |2023-09-30 20:45:00.000 +0200|FT         |{'total': 80, 'over_time': None, 'quarter_1': 19, 'quarter_2': 10, 'quarter_3': 26, 'quarter_4': 25} |{'total': 68, 'over_time': None, 'quarter_1': 17, 'quarter_2': 20, 'quarter_3': 20, 'quarter_4': 11} |
|api_sport|basketball|359454             |117               |2023-2024|1125                 |118,262               |Granada                 |1139                 |118,264               |Basquet Girona          |2023-10-01 12:30:00.000 +0200|FT         |{'total': 91, 'over_time': None, 'quarter_1': 23, 'quarter_2': 19, 'quarter_3': 27, 'quarter_4': 22} |{'total': 102, 'over_time': None, 'quarter_1': 16, 'quarter_2': 28, 'quarter_3': 23, 'quarter_4': 35}|
|api_sport|basketball|359455             |117               |2023-2024|2334                 |118,271               |Joventut Badalona       |2333                 |118,270               |Gran Canaria            |2023-10-01 12:30:00.000 +0200|FT         |{'total': 89, 'over_time': None, 'quarter_1': 28, 'quarter_2': 15, 'quarter_3': 21, 'quarter_4': 25} |{'total': 75, 'over_time': None, 'quarter_1': 16, 'quarter_2': 26, 'quarter_3': 14, 'quarter_4': 19} |
|api_sport|basketball|359456             |117               |2023-2024|1120                 |118,261               |Breogan                 |1698                 |118,266               |Manresa                 |2023-10-01 17:00:00.000 +0200|AOT        |{'total': 85, 'over_time': 8, 'quarter_1': 18, 'quarter_2': 25, 'quarter_3': 21, 'quarter_4': 13}    |{'total': 89, 'over_time': 12, 'quarter_1': 28, 'quarter_2': 21, 'quarter_3': 10, 'quarter_4': 18}   |
|api_sport|basketball|359457             |117               |2023-2024|2335                 |118,272               |MoraBanc Andorra        |1132                 |118,263               |Palencia                |2023-10-01 17:00:00.000 +0200|FT         |{'total': 87, 'over_time': None, 'quarter_1': 20, 'quarter_2': 23, 'quarter_3': 21, 'quarter_4': 23} |{'total': 74, 'over_time': None, 'quarter_1': 21, 'quarter_2': 19, 'quarter_3': 23, 'quarter_4': 11} |
