|source_table|row_data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|job_runs    |"{\"id\": 499, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T15:56:09.069691+01:00\", \"started_at\": \"2026-03-25T15:56:09.069691+01:00\", \"finished_at\": \"2026-03-25T15:56:13.944388+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 496, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T15:51:15.557201+01:00\", \"started_at\": \"2026-03-25T15:51:15.557201+01:00\", \"finished_at\": \"2026-03-25T15:51:20.947135+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 492, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T15:32:14.670762+01:00\", \"started_at\": \"2026-03-25T15:32:14.670762+01:00\", \"finished_at\": \"2026-03-25T15:32:19.80609+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"              |
|job_runs    |"{\"id\": 486, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T14:23:34.017253+01:00\", \"started_at\": \"2026-03-25T14:23:34.017253+01:00\", \"finished_at\": \"2026-03-25T14:23:39.100664+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 483, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T14:17:05.412263+01:00\", \"started_at\": \"2026-03-25T14:17:05.412263+01:00\", \"finished_at\": \"2026-03-25T14:17:10.870747+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 480, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T14:11:03.832787+01:00\", \"started_at\": \"2026-03-25T14:11:03.832787+01:00\", \"finished_at\": \"2026-03-25T14:11:08.622185+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 477, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T14:07:38.110017+01:00\", \"started_at\": \"2026-03-25T14:07:38.110017+01:00\", \"finished_at\": \"2026-03-25T14:07:42.944107+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 474, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 29, \"leagues_updated\": 2169, \"matches_updated\": 74767, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 1146, \"players_inserted\": 0, \"league_teams_inserted\": 29, \"team_provider_map_inserted\": 29, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T14:03:37.995429+01:00\", \"started_at\": \"2026-03-25T14:03:37.995429+01:00\", \"finished_at\": \"2026-03-25T14:03:43.76326+01:00\", \"rows_affected\": 78702, \"api_import_run_id\": null}"        |
|job_runs    |"{\"id\": 469, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 74767, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5381, \"public.leagues\": 2986, \"public.matches\": 107273, \"public.players\": 839, \"public.team_provider_map\": 5362, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T13:51:53.025984+01:00\", \"started_at\": \"2026-03-25T13:51:53.025984+01:00\", \"finished_at\": \"2026-03-25T13:51:58.371277+01:00\", \"rows_affected\": 77469, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 466, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 74767, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5381, \"public.leagues\": 2986, \"public.matches\": 107273, \"public.players\": 839, \"public.team_provider_map\": 5362, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T13:46:33.118784+01:00\", \"started_at\": \"2026-03-25T13:46:33.118784+01:00\", \"finished_at\": \"2026-03-25T13:46:38.616922+01:00\", \"rows_affected\": 77469, \"api_import_run_id\": null}"             |
|job_runs    |"{\"id\": 463, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 74767, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5381, \"public.leagues\": 2986, \"public.matches\": 107273, \"public.players\": 839, \"public.team_provider_map\": 5362, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T13:19:59.773349+01:00\", \"started_at\": \"2026-03-25T13:19:59.773349+01:00\", \"finished_at\": \"2026-03-25T13:20:04.661348+01:00\", \"rows_affected\": 77469, \"api_import_run_id\": null}"             |
