selected;ticket_index;fixed;block_a;block_b;block_c;total_odd;possible_win;probability
1;1;4.52;1.80;-;5.81;10.45;104.54 Kč;6.47 %
1;2;4.52;1.80;-;3.02;5.44;54.36 Kč;5.23 %
1;3;4.52;1.80;-;13.80;24.84;248.42 Kč;4.16 %
1;4;4.52;4.12;-;5.81;23.93;239.29 Kč;2.77 %
1;5;4.52;4.09;-;5.81;23.75;237.55 Kč;2.71 %
1;6;4.52;4.12;-;3.02;12.44;124.42 Kč;2.24 %
1;7;4.52;4.09;-;3.02;12.35;123.52 Kč;2.19 %
1;8;4.52;4.12;-;13.80;56.86;568.61 Kč;1.78 %
1;9;4.52;4.09;-;13.80;56.45;564.47 Kč;1.74 %
