selected;ticket_index;fixed;block_a;block_b;block_c;total_odd;possible_win;probability
1;1;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;2: 2.56 = 2.56;2: 2.77 = 2.77;-;7.09;70.91 Kč;0.71 %
1;2;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;2: 2.56 = 2.56;1: 3.06 = 3.06;-;7.83;78.34 Kč;0.64 %
1;3;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;2: 2.56 = 2.56;X: 3.04 = 3.04;-;7.78;77.82 Kč;0.60 %
1;4;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;1: 3.04 = 3.04;2: 2.77 = 2.77;-;8.42;84.21 Kč;0.60 %
1;5;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;X: 3.38 = 3.38;2: 2.77 = 2.77;-;9.36;93.63 Kč;0.53 %
1;6;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;1: 3.04 = 3.04;1: 3.06 = 3.06;-;9.30;93.02 Kč;0.53 %
1;7;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;1: 3.04 = 3.04;X: 3.04 = 3.04;-;9.24;92.42 Kč;0.50 %
1;8;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;X: 3.38 = 3.38;1: 3.06 = 3.06;-;10.34;103.43 Kč;0.48 %
1;9;1.33 × 1.97 × 1.56 ... (8 záp.) = 19.86;X: 3.38 = 3.38;X: 3.04 = 3.04;-;10.28;102.75 Kč;0.45 %
