selected;ticket_index;fixed;block_a;block_b;block_c;total_odd;possible_win;probability
1;1;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;1: 2.77 × 2.65 = 7.34;1: 2.85 × 2.87 = 8.18;-;60.04;1801.25 Kč;0.31 %
1;2;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;1: 2.77 × 2.65 = 7.34;2: 2.81 × 3.02 = 8.49;-;62.29;1868.79 Kč;0.30 %
1;3;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;2: 2.89 × 2.71 = 7.83;1: 2.85 × 2.87 = 8.18;-;64.06;1921.83 Kč;0.28 %
1;4;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;2: 2.89 × 2.71 = 7.83;2: 2.81 × 3.02 = 8.49;-;66.46;1993.89 Kč;0.27 %
1;5;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;1: 2.77 × 2.65 = 7.34;X: 3.25 × 2.99 = 9.72;-;71.33;2139.94 Kč;0.26 %
1;6;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;2: 2.89 × 2.71 = 7.83;X: 3.25 × 2.99 = 9.72;-;76.11;2283.19 Kč;0.23 %
1;7;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;X: 3.25 × 3.70 = 12.02;1: 2.85 × 2.87 = 8.18;-;98.36;2950.75 Kč;0.18 %
1;8;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;X: 3.25 × 3.70 = 12.02;2: 2.81 × 3.02 = 8.49;-;102.05;3061.40 Kč;0.17 %
1;9;1.54 × 1.46 × 1.36 ... (4 záp.) = 5.23;X: 3.25 × 3.70 = 12.02;X: 3.25 × 2.99 = 9.72;-;116.85;3505.59 Kč;0.15 %
