change_type,relative_path,path,size_bytes,created_at,modified_at,mtime_epoch
DELETED,reports\reports_runner\soubor na spouštění reportů\Spusť merge (bez API requestů).txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Spusť merge (bez API requestů).txt,101,2026-03-04 08:52:54,2026-03-04 08:52:54,1772610774.969
DELETED,reports\reports_runner\soubor na spouštění reportů\Spusť merge jen pro nový run.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Spusť merge jen pro nový run.txt,288,2026-03-04 08:58:13,2026-03-04 08:58:14,1772611094.086
DELETED,reports\reports_runner\soubor na spouštění reportů\Spusť report mm_api_football_backfill_status.sql.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Spusť report mm_api_football_backfill_status.sql.txt,205,2026-03-04 11:15:46,2026-03-04 11:15:46,1772619346.799
DELETED,reports\reports_runner\soubor na spouštění reportů\Spusť skript run_api_football_backfill_report.ps1.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Spusť skript run_api_football_backfill_report.ps1.txt,111,2026-03-04 11:22:13,2026-03-04 11:22:13,1772619733.817
DELETED,reports\reports_runner\soubor na spouštění reportů\Spuštění ingest wrapper - stahování zápasů z API football.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Spuštění ingest wrapper - stahování zápasů z API football.txt,309,2026-03-04 08:57:02,2026-03-06 08:07:10,1772780830.92
DELETED,reports\reports_runner\spouštěcí soubory na reporty\INIT_GIT_REPO.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\INIT_GIT_REPO.bat,1115,2026-03-03 13:13:44,2026-03-03 13:13:44,1772540024.666
DELETED,reports\reports_runner\spouštěcí soubory na reporty\RUN_ALL_REPORTS.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\RUN_ALL_REPORTS.bat,235,2026-03-03 11:12:58,2026-03-03 12:19:07,1772536747.828
DELETED,reports\reports_runner\spouštěcí soubory na reporty\RUN_DAILY_REPORT.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\RUN_DAILY_REPORT.bat,238,2026-03-03 11:06:51,2026-03-03 12:17:00,1772536620.245
DELETED,reports\reports_runner\spouštěcí soubory na reporty\RUN_MIGRATIONS.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\RUN_MIGRATIONS.bat,1200,2026-03-04 11:38:24,2026-03-03 13:34:49,1772541289.987
DELETED,reports\reports_runner\spouštěcí soubory na reporty\RUN_SYSTEM_STATUS.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\RUN_SYSTEM_STATUS.bat,1836,2026-03-03 12:27:23,2026-03-03 13:01:47,1772539307.803
DELETED,reports\reports_runner\spouštěcí soubory na reporty\RUN_WEEKLY_REPORT.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\RUN_WEEKLY_REPORT.bat,240,2026-03-03 12:17:31,2026-03-03 12:17:31,1772536651.522
DELETED,reports\reports_runner\spouštěcí soubory na reporty\SHOW_DOCKER_CONTAINERS.bat,C:\MatchMatrix-platform\reports\reports_runner\spouštěcí soubory na reporty\SHOW_DOCKER_CONTAINERS.bat,80,2026-03-03 12:15:37,2026-03-03 12:15:37,1772536537.748
