|provider    |sport_code|external_team_id|team_name          |country_name|external_league_id|season|is_active|created_at                   |
|api_football|football  |61              |Wigan              |England     |40                |2022  |true     |2026-03-02 13:18:59.904 +0100|
|api_football|football  |62              |Sheffield Utd      |England     |40                |2022  |true     |2026-03-02 13:19:00.121 +0100|
|api_football|football  |63              |Leeds              |England     |39                |2022  |true     |2026-03-22 22:21:09.254 +0100|
|api_football|football  |64              |Hull City          |England     |10                |2024  |true     |2026-04-13 22:46:29.137 +0200|
|api_football|football  |65              |Nottingham Forest  |England     |39                |2022  |true     |2026-03-22 22:21:09.593 +0100|
|api_football|football  |66              |Aston Villa        |England     |39                |2022  |true     |2026-03-22 22:21:09.879 +0100|
|api_football|football  |67              |Blackburn          |England     |40                |2022  |true     |2026-03-02 13:19:00.604 +0100|
|api_football|football  |68              |Bolton             |England     |41                |2022  |true     |2026-03-02 13:19:44.755 +0100|
|api_football|football  |69              |Derby              |England     |41                |2022  |true     |2026-03-02 13:19:45.056 +0100|
|api_football|football  |70              |Middlesbrough      |England     |40                |2022  |true     |2026-03-02 13:19:00.828 +0100|
|api_football|football  |71              |Norwich            |England     |40                |2022  |true     |2026-03-02 13:19:01.048 +0100|
|api_football|football  |72              |QPR                |England     |40                |2022  |true     |2026-03-02 13:19:01.270 +0100|
|api_football|football  |73              |Rotherham          |England     |40                |2022  |true     |2026-03-02 13:19:01.494 +0100|
|api_football|football  |74              |Sheffield Wednesday|England     |41                |2022  |true     |2026-03-02 13:19:45.358 +0100|
|api_football|football  |75              |Stoke City         |England     |40                |2022  |true     |2026-03-02 13:19:01.727 +0100|
|api_football|football  |76              |Swansea            |Wales       |40                |2022  |true     |2026-03-02 13:19:01.980 +0100|
|api_football|football  |77              |Angers             |France      |61                |2022  |true     |2026-03-02 13:19:03.756 +0100|
|api_football|football  |79              |Lille              |France      |61                |2022  |true     |2026-03-02 13:19:03.983 +0100|
|api_football|football  |80              |Lyon               |France      |61                |2022  |true     |2026-03-02 13:19:04.199 +0100|
|api_football|football  |81              |Marseille          |France      |61                |2022  |true     |2026-03-02 13:19:04.438 +0100|
|api_football|football  |82              |Montpellier        |France      |61                |2022  |true     |2026-03-02 13:19:04.656 +0100|
|api_football|football  |83              |Nantes             |France      |61                |2022  |true     |2026-03-02 13:19:04.889 +0100|
|api_football|football  |84              |Nice               |France      |61                |2022  |true     |2026-03-02 13:19:05.127 +0100|
|api_football|football  |85              |Paris Saint Germain|France      |61                |2022  |true     |2026-03-02 13:19:05.354 +0100|
|api_football|football  |91              |Monaco             |France      |61                |2022  |true     |2026-03-02 13:19:05.580 +0100|
|api_football|football  |93              |Reims              |France      |61                |2022  |true     |2026-03-02 13:19:05.802 +0100|
|api_football|football  |94              |Rennes             |France      |61                |2022  |true     |2026-03-02 13:19:06.036 +0100|
|api_football|football  |95              |Strasbourg         |France      |61                |2022  |true     |2026-03-02 13:19:06.282 +0100|
|api_football|football  |96              |Toulouse           |France      |61                |2022  |true     |2026-03-02 13:19:06.513 +0100|
|api_football|football  |97              |Lorient            |France      |61                |2022  |true     |2026-03-02 13:19:06.745 +0100|
|api_football|football  |98              |Ajaccio            |France      |61                |2022  |true     |2026-03-02 13:19:06.979 +0100|
|api_football|football  |99              |Clermont Foot      |France      |61                |2022  |true     |2026-03-02 13:19:07.193 +0100|
|api_football|football  |106             |Stade Brestois 29  |France      |61                |2022  |true     |2026-03-02 13:19:07.421 +0100|
|api_football|football  |108             |Auxerre            |France      |61                |2022  |true     |2026-03-02 13:19:07.653 +0100|
|api_football|football  |110             |Estac Troyes       |France      |61                |2022  |true     |2026-03-02 13:19:07.871 +0100|
|api_football|football  |111             |Le Havre           |France      |61                |2024  |true     |2026-02-26 18:33:36.504 +0100|
|api_football|football  |112             |Metz               |France      |61                |2024  |true     |2026-02-26 18:33:36.732 +0100|
|api_football|football  |116             |Lens               |France      |61                |2022  |true     |2026-03-02 13:19:08.120 +0100|
|api_football|football  |157             |Bayern M?nchen     |Germany     |78                |2022  |true     |2026-03-22 22:21:02.721 +0100|
|api_football|football  |159             |Hertha BSC         |Germany     |78                |2022  |true     |2026-03-22 22:21:03.373 +0100|
