|provider    |external_team_id|team_name                 |country_name            |external_league_id|season|
|api_football|19080           |Canada U20 W              |Canada                  |1001              |2024  |
|api_football|1581            |Carrarese                 |Italy                   |942               |2022  |
|api_football|17615           |Caspe                     |Spain                   |455               |2024  |
|api_football|1687            |Catanzaro                 |Italy                   |943               |2022  |
|api_football|8169            |Cayman Islands            |Cayman-Islands          |10                |2024  |
|api_football|9827            |CD Coria                  |Spain                   |143               |2024  |
|api_football|247             |Celtic                    |Scotland                |179               |2022  |
|api_football|1527            |Central African Republic  |Central-African-Republic|10                |2024  |
|api_football|2246            |CFR 1907 Cluj             |Romania                 |283               |2022  |
|api_football|223             |Chaves                    |Portugal                |94                |2022  |
|api_football|21905           |Chiclana                  |Spain                   |143               |2024  |
|api_football|2383            |Chile                     |Chile                   |10                |2024  |
|api_football|1566            |China                     |China                   |10                |2024  |
|api_football|17262           |China PR U20              |China                   |10                |2024  |
|api_football|10932           |China PR U23              |China                   |10                |2024  |
|api_football|2586            |Chindia Targoviste        |Romania                 |283               |2022  |
|api_football|1557            |Chinese Taipei            |Chinese-Taipei          |10                |2024  |
|api_football|3482            |Chojniczanka Chojnice     |Poland                  |107               |2022  |
|api_football|9756            |Ciudad de Lucena          |Spain                   |143               |2024  |
|api_football|6762            |Clyde                     |Scotland                |184               |2024  |
|api_football|1524            |Comoros                   |Comoros                 |10                |2024  |
|api_football|5256            |Compostela                |Spain                   |143               |2024  |
|api_football|2580            |Concordia                 |Romania                 |284               |2022  |
|api_football|1517            |Congo                     |Congo                   |10                |2024  |
|api_football|5257            |Conquense                 |Spain                   |143               |2024  |
|api_football|713             |Cordoba                   |Spain                   |143               |2024  |
|api_football|29              |Costa Rica                |Costa-Rica              |10                |2024  |
|api_football|19082           |Costa Rica U20 W          |Costa-Rica              |1001              |2024  |
|api_football|350             |Cracovia Krakow           |Poland                  |106               |2022  |
|api_football|501             |Crotone                   |Italy                   |943               |2022  |
|api_football|1426            |CSKA 1948                 |Bulgaria                |172               |2022  |
|api_football|853             |CSKA Sofia                |Bulgaria                |172               |2022  |
|api_football|16620           |C?te d'Ivoire U23         |Ivory-Coast             |10                |2024  |
|api_football|2388            |Cuba                      |Cuba                    |10                |2024  |
|api_football|725             |Cultural Leonesa          |Spain                   |1006              |2024  |
|api_football|5530            |Cura?ao                   |Curacao                 |10                |2024  |
|api_football|1106            |Cyprus                    |Cyprus                  |10                |2024  |
|api_football|23256           |Cyprus U18                |Cyprus                  |10                |2024  |
|api_football|8187            |Cyprus U21                |Cyprus                  |10                |2024  |
|api_football|770             |Czech Republic            |Czech-Republic          |10                |2024  |
|api_football|22580           |Czech Republic U16        |Czech-Republic          |10                |2024  |
|api_football|8188            |Czech Republic U21        |Czech-Republic          |10                |2024  |
|api_football|2172            |Degerfors IF              |Sweden                  |113               |2022  |
|api_football|199             |De Graafschap             |Netherlands             |88                |2024  |
|api_football|4370            |Dekani                    |Slovenia                |374               |2022  |
|api_football|421             |Den Bosch                 |Netherlands             |88                |2024  |
|api_football|22428           |Denmark U18               |Denmark                 |10                |2024  |
|api_football|8189            |Denmark U21               |Denmark                 |10                |2024  |
|api_football|9811            |Deportiva Minera          |Spain                   |143               |2024  |
|api_football|544             |Deportivo La Coruna       |Spain                   |143               |2024  |
|api_football|25271           |Dinamo Bak?               |Azerbaijan              |420               |2024  |
|api_football|386             |Dinamo Brest              |Belarus                 |116               |2022  |
|api_football|635             |Dinamo Bucuresti          |Romania                 |284               |2022  |
|api_football|620             |Dinamo Zagreb             |Croatia                 |210               |2022  |
|api_football|1535            |Djibouti                  |Djibouti                |10                |2024  |
|api_football|364             |Djurgardens IF            |Sweden                  |113               |2022  |
|api_football|1427            |Dobrudzha                 |Bulgaria                |173               |2022  |
|api_football|5531            |Dominica                  |Dominica                |10                |2024  |
|api_football|5532            |Dominican Republic        |Dominican-Republic      |10                |2024  |
|api_football|17871           |Dominican Republic U23    |Dominican-Republic      |10                |2024  |
|api_football|21367           |Dominican Republic W U20  |Dominican-Republic      |1001              |2024  |
|api_football|5259            |Don Benito                |Spain                   |143               |2024  |
|api_football|18787           |Dostlik                   |Uzbekistan              |1075              |2024  |
|api_football|15132           |Dukla Praha II            |Czech-Republic          |348               |2022  |
|api_football|6764            |East Fife                 |Scotland                |184               |2024  |
|api_football|6765            |East Kilbride             |Scotland                |184               |2024  |
|api_football|6766            |Edinburgh City            |Scotland                |184               |2024  |
|api_football|11027           |Egypt U20                 |Egypt                   |10                |2024  |
|api_football|545             |Eibar                     |Spain                   |143               |2024  |
|api_football|169             |Eintracht Frankfurt       |Germany                 |78                |2022  |
|api_football|9589            |Ejea                      |Spain                   |143               |2024  |
|api_football|797             |Elche                     |Spain                   |143               |2024  |
|api_football|6767            |Elgin City                |Scotland                |184               |2024  |
|api_football|5159            |El Salvador               |El-Salvador             |10                |2024  |
|api_football|12762           |Eltersdorf                |Germany                 |1003              |2024  |
|api_football|208             |Emmen                     |Netherlands             |88                |2022  |
|api_football|511             |Empoli                    |Italy                   |135               |2022  |
|api_football|21466           |England U18               |England                 |10                |2024  |
