|status_bucket         |provider    |external_team_id|team_name               |candidate_count|candidate_team_ids|candidate_team_names|
|NO_EXACT_MATCH        |api_football|18787           |Dostlik                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|6764            |East Fife               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|6765            |East Kilbride           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|6766            |Edinburgh City          |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|11027           |Egypt U20               |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|6767            |Elgin City              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|5159            |El Salvador             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|12762           |Eltersdorf              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|21466           |England U18             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1521            |Equatorial Guinea       |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|19220           |Erlbach                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1101            |Estonia                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|10361           |Estonia U19             |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1506            |Ethiopia                |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|6263            |Excelsior '31           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1098            |Faroe Islands           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|3890            |FC 's-Gravenzande       |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|5160            |Fiji                    |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1099            |Finland                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|3891            |Flevo Boys              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|4250            |Forfar Athletic         |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|8158            |Fraga                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|16621           |France U23              |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|8118            |French Guyana           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|20445           |Fuentes                 |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1105            |FYR Macedonia           |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1503            |Gabon                   |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|1492            |Gambia                  |0              |                  |                    |
|NO_EXACT_MATCH        |api_football|23257           |Georgia U18             |0              |                  |                    |
