|external_league_id|league_name                            |country_name          |season|is_active|
|94                |Supercup Women                         |Russia                |2024  |false    |
|91                |Superleague                            |Russia                |2024  |false    |
|92                |Superleague Women                      |Russia                |2024  |false    |
|97                |Superliga                              |Serbia                |2024  |false    |
|98                |Extraliga                              |Slovakia              |2024  |false    |
|99                |1.A DRL Women                          |Slovenia              |2024  |false    |
|100               |1. NLB Liga                            |Slovenia              |2024  |false    |
|105               |Copa Asobal                            |Spain                 |2024  |false    |
|110               |Copa de la Reina Women                 |Spain                 |2024  |false    |
|107               |Copa del Rey                           |Spain                 |2024  |false    |
|104               |Division de Honor Plata                |Spain                 |2024  |false    |
|108               |Division de Honor Women                |Spain                 |2024  |false    |
|103               |Liga ASOBAL                            |Spain                 |2024  |false    |
|111               |Allsvenskan                            |Sweden                |2024  |false    |
|112               |Allsvenskan Women                      |Sweden                |2024  |false    |
|113               |Handbollsligan                         |Sweden                |2024  |false    |
|114               |SHE Women                              |Sweden                |2024  |false    |
|128               |Swedish Cup                            |Sweden                |2024  |false    |
|129               |Swedish Cup Women                      |Sweden                |2024  |false    |
|115               |NLA                                    |Switzerland           |2024  |false    |
|117               |Schweizer Cup                          |Switzerland           |2024  |false    |
|118               |Schweizer Cup Women                    |Switzerland           |2024  |false    |
|116               |SPL Women                              |Switzerland           |2024  |false    |
|119               |Super Cup                              |Switzerland           |2024  |false    |
|130               |Super Cup Women                        |Switzerland           |2024  |false    |
|120               |Superlig                               |Turkey                |2024  |false    |
|121               |Superlig Women                         |Turkey                |2024  |false    |
|122               |Superleague                            |Ukraine               |2024  |false    |
|194               |Club Friendly                          |World                 |2024  |false    |
|195               |Club Friendly Women                    |World                 |2024  |false    |
|196               |Friendly International                 |World                 |2024  |false    |
|197               |Friendly International Women           |World                 |2024  |false    |
|155               |Olympic Games                          |World                 |2024  |false    |
|213               |Posten Cup Women                       |World                 |2024  |false    |
|165               |South and Central American Championship|World                 |2024  |false    |
|158               |World Championship U18 Women           |World                 |2024  |false    |
|154               |World Championship Women               |World                 |2024  |false    |
