|id     |name                 |ext_source  |ext_team_id|external_league_id|season|created_at                   |updated_at                   |
|119,506|Congo                |api_handball|3292       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,508|D.R. Congo           |api_handball|3293       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,509|Egypt                |api_handball|2661       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,514|Gabon                |api_handball|3294       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,518|Guinea               |api_handball|3295       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,524|Kenya                |api_handball|3297       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,527|Libya                |api_handball|3298       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,531|Morocco              |api_handball|3299       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,535|Nigeria              |api_handball|3063       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,538|Rwanda               |api_handball|4497       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,545|Tunisia              |api_handball|2673       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
|119,552|Zambia               |api_handball|3300       |183               |2024  |2026-04-19 21:22:09.345 +0200|2026-04-19 21:22:09.345 +0200|
