|external_league_id|league_name                            |country_name          |season|is_active|raw_payload_id|created_at                   |
|40                |Super Cup                              |Germany               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|46                |Super Cup Women                        |Germany               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|47                |A1                                     |Greece                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|48                |Greek Cup                              |Greece                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|51                |Hungarian Cup                          |Hungary               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|52                |Hungarian Cup Women                    |Hungary               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|49                |NB I                                   |Hungary               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|50                |NB I Women                             |Hungary               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|53                |Olis Deildin                           |Iceland               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|54                |Olis Deild Women                       |Iceland               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|55                |Division 1                             |Israel                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|57                |Coppa Italia                           |Italy                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|59                |Coppa Italia Women                     |Italy                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|56                |Serie A                                |Italy                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|58                |Serie A Women                          |Italy                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|123               |Super Cup                              |Italy                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|124               |Super Cup Women                        |Italy                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|125               |JHL                                    |Japan                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|126               |JHL Women                              |Japan                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|60                |SynotTip Virsliga                      |Latvia                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|61                |Lietuvos Lyga                          |Lithuania             |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|63                |AXA League                             |Luxembourg            |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|64                |1st Division                           |Malta                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|65                |Prva liga                              |Montenegro            |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|66                |Eredivisie                             |Netherlands           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|67                |Eredivisie Women                       |Netherlands           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|68                |HandbalNL League                       |Netherlands           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|37                |Superleague                            |North-Macedonia       |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|38                |Superleague Women                      |North-Macedonia       |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|69                |1. Division                            |Norway                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|70                |1. Division Women                      |Norway                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|71                |NM Cup                                 |Norway                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
