change_type,category,relative_path,old_modified_at,new_modified_at,old_size_bytes,new_size_bytes
NEW,ingest,predict_matches.py,,2026-02-16 15:42:44,,3606
NEW,ingest,predict_matches_V3.py,,2026-03-11 12:24:01,,5493
NEW,ingest,providers\__pycache__\api_football_provider.cpython-314.pyc,,2026-03-13 23:08:15,,10462
NEW,ingest,providers\__pycache__\api_hockey_provider.cpython-314.pyc,,2026-03-11 22:19:46,,5531
NEW,ingest,providers\__pycache__\base_provider.cpython-314.pyc,,2026-03-11 22:10:03,,4676
NEW,ingest,providers\__pycache__\provider_registry.cpython-314.pyc,,2026-03-11 22:10:03,,1795
NEW,ingest,providers\api_football_provider.py,,2026-03-13 23:03:25,,7563
NEW,ingest,providers\api_hockey_provider.py,,2026-03-11 22:19:14,,2807
NEW,ingest,providers\base_provider.py,,2026-03-11 22:01:37,,2564
NEW,ingest,providers\provider_registry.py,,2026-03-11 22:01:59,,908
NEW,ingest,run_compute_mmr_ratings.bat,,2026-02-16 22:32:40,,368
NEW,ingest,run_football_data_pull_V5.bat,,2026-02-19 09:52:23,,348
NEW,ingest,run_football_data_uk_history.bat,,2026-02-15 15:21:01,,194
NEW,ingest,run_predict_matches_V3.bat,,2026-02-19 10:41:48,,440
NEW,ingest,run_theodds.bat,,2026-02-19 14:45:37,,671
NEW,ingest,run_theodds_parse_multi_FINAL.bat,,2026-02-20 23:16:07,,674
NEW,ingest,run_theodds_parse_multi_V1.bat,,2026-02-20 22:29:48,,453
NEW,ingest,run_train_baseline_logreg.bat,,2026-02-15 16:14:42,,337
NEW,ingest,run_train_gbm_v3.bat,,2026-02-18 10:32:17,,276
NEW,ingest,run_unified_ingest_batch_v1.py,,2026-03-13 22:30:34,,9921
NEW,ingest,run_unified_ingest_v1.py,,2026-03-13 08:46:34,,3782
NEW,ingest,theodds_parse_multi_FINAL.py,,2026-03-08 11:12:08,,25075
NEW,ingest,theodds_parse_multi_V1.py,,2026-02-20 22:28:43,,25036
NEW,ingest,theodds_pull.py,,2026-02-19 15:17:27,,4031
NEW,ingest,train_baseline_logreg.py,,2026-02-15 23:00:28,,8879
NEW,ingest,train_gbm_v3.py,,2026-02-18 10:56:22,,4954
NEW,scripts,00_Schema\001_core_tebles.sql\002_team_aliases.sql,,2026-02-19 18:10:09,,321
NEW,scripts,00_Schema\001_core_tebles.sql\004_template_block_matches.sql,,2026-02-12 11:13:41,,81
NEW,scripts,00_Schema\001_core_tebles.sql\006_template_fixed_picks.sql,,2026-02-11 09:06:01,,571
NEW,scripts,00_Schema\001_core_tebles.sql\009_theodds_teams.sql,,2026-02-19 21:23:33,,1552
NEW,scripts,00_Schema\001_core_tebles.sql\03_trigger_variable_block_1x2.sql,,2026-02-19 14:05:11,,3152
NEW,scripts,00_Schema\001_core_tebles.sql\pomocná_funkce_na_čtení_limitu.sql,,2026-02-12 14:18:27,,254
NEW,scripts,00_Schema\001_core_tebles.sql\tabulka_nastaveni_limit_5000_tickets.sql,,2026-02-12 13:21:39,,296
NEW,scripts,00_Schema\001_create_tables\001_create_table_seasons.sql,,2026-03-05 23:06:15,,229
NEW,scripts,00_Schema\001_create_tables\002_create_table_players.sql,,2026-03-06 10:48:51,,1741
NEW,scripts,00_Schema\001_create_tables\003_create_table_player_provider_map.sql,,2026-03-02 22:47:13,,1370
NEW,scripts,00_Schema\001_create_tables\004_create_table_lineups.sql,,2026-03-06 11:00:01,,0
NEW,scripts,00_Schema\001_create_tables\005_create_table_injuries.sql,,2026-03-06 11:01:34,,0
NEW,scripts,00_Schema\001_create_tables\006_create_table_content_sources.sql,,2026-03-06 11:03:18,,0
NEW,scripts,00_Schema\001_create_tables\007_create_table_articles.sql,,2026-03-06 11:03:27,,0
NEW,scripts,00_Schema\001_create_tables\008_create_table_article_team_map.sql,,2026-03-06 11:03:25,,0
NEW,scripts,00_Schema\001_create_tables\009_create_table_article_league_map.sql,,2026-03-06 11:03:23,,0
NEW,scripts,00_Schema\001_create_tables\010_create_table_article_match_map.sql,,2026-03-06 11:03:22,,0
NEW,scripts,00_Schema\001_create_tables\011_check_new_core_tables.sql,,2026-03-06 11:16:29,,0
NEW,scripts,00_Schema\001_create_tables\012_create_table_languages.sql,,2026-03-06 11:22:08,,0
