provider,league_name,event_name,home_raw,away_raw,home_normalized,away_normalized,best_home_candidate,best_away_candidate,best_home_score,best_away_score,match_id,issue_code
theodds,soccer_epl,Newcastle United vs Bournemouth,Newcastle United,Bournemouth,newcastle united,bournemouth,newcastle united,bournemouth,1.0,1.0,,NO_MATCH_ID
theodds,soccer_epl,Leeds United vs Wolverhampton Wanderers,Leeds United,Wolverhampton Wanderers,leeds united,wolverhampton wanderers,leeds united,wolverhampton wanderers,1.0,1.0,,NO_MATCH_ID
theodds,soccer_epl,Tottenham Hotspur vs Brighton and Hove Albion,Tottenham Hotspur,Brighton and Hove Albion,tottenham hotspur,brighton and hove albion,tottenham hotspur,brighton and hove albion,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,South Korea vs Czech Republic,South Korea,Czech Republic,south korea,czech republic,south korea,czech republic u18,1.0,0.8479,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,USA vs Paraguay,USA,Paraguay,usa,paraguay,usa,paraguay,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,Ivory Coast vs Ecuador,Ivory Coast,Ecuador,ivory coast,ecuador,ivory coast,ecuador,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,Australia vs Jordan,Australia,Jordan,australia,jordan,australia,jordan,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,Iraq vs Norway,Iraq,Norway,iraq,norway,iraq,norway,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,Australia vs Jordan,Australia,Jordan,australia,jordan,australia,jordan,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,Portugal vs DR Congo,Portugal,DR Congo,portugal,dr congo,portugal,dr congo,1.0,1.0,,NO_MATCH_ID
theodds,soccer_fifa_world_cup,USA vs Australia,USA,Australia,usa,australia,usa,australia,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Strasbourg vs Nice,Strasbourg,Nice,strasbourg,nice,strasbourg,nice,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Brest vs Rennes,Brest,Rennes,brest,rennes,brest,rennes,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Lille vs RC Lens,Lille,RC Lens,lille,rc lens,lille,rc lens,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Angers vs Lyon,Angers,Lyon,angers,lyon,angers,lyon,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Le Havre vs Auxerre,Le Havre,Auxerre,le havre,auxerre,le havre,auxerre,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,RC Lens vs Paris Saint Germain,RC Lens,Paris Saint Germain,rc lens,paris saint germain,rc lens,paris saint germain,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Auxerre vs Nantes,Auxerre,Nantes,auxerre,nantes,auxerre,nantes,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Rennes vs Angers,Rennes,Angers,rennes,angers,rennes,angers,1.0,1.0,,NO_MATCH_ID
theodds,soccer_france_ligue_one,Brest vs Strasbourg,Brest,Strasbourg,brest,strasbourg,brest,strasbourg,1.0,1.0,,NO_MATCH_ID
theodds,soccer_germany_bundesliga,Borussia Monchengladbach vs 1. FC Heidenheim,Borussia Monchengladbach,1. FC Heidenheim,borussia monchengladbach,1 heidenheim,borussia monchengladbach,1 heidenheim,1.0,1.0,,NO_MATCH_ID
theodds,soccer_germany_bundesliga,Union Berlin vs FC St. Pauli,Union Berlin,FC St. Pauli,union berlin,saint pauli,union berlin,saint pauli,1.0,1.0,,NO_MATCH_ID
theodds,soccer_germany_bundesliga,1. FC Heidenheim vs Union Berlin,1. FC Heidenheim,Union Berlin,1 heidenheim,union berlin,1 heidenheim,union berlin,1.0,1.0,,NO_MATCH_ID
theodds,soccer_germany_bundesliga,FC St. Pauli vs Bayern Munich,FC St. Pauli,Bayern Munich,saint pauli,bayern munich,saint pauli,bayern munich,1.0,1.0,,NO_MATCH_ID
theodds,soccer_italy_serie_a,Sassuolo vs Cagliari,Sassuolo,Cagliari,sassuolo,cagliari,sassuolo,cagliari,1.0,1.0,,NO_MATCH_ID
