|id |job_code                       |status |started_at                   |finished_at                  |message                                                 |details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|---|-------------------------------|-------|-----------------------------|-----------------------------|--------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|580|unified_ingest_batch           |warning|2026-04-16 22:08:38.890 +0200|2026-04-16 22:09:55.110 +0200|Batch finished. OK=3, WARNING=2, ERROR=0, UNKNOWN=0     |"{\"limit\": 5, \"sport\": \"FB\", \"stats\": {\"OK\": 3, \"ERROR\": 0, \"UNKNOWN\": 0, \"WARNING\": 2}, \"entity\": \"fixtures\", \"leagues\": [{\"result\": \"WARNING\", \"season\": \"2024\", \"league_id\": \"1\"}, {\"result\": \"OK\", \"season\": \"2024\", \"league_id\": \"10\"}, {\"result\": \"OK\", \"season\": \"2024\", \"league_id\": \"100\"}, {\"result\": \"OK\", \"season\": \"2024\", \"league_id\": \"1000\"}, {\"result\": \"WARNING\", \"season\": \"2024\", \"league_id\": \"1001\"}], \"provider\": \"api_football\", \"run_group\": \"EU_top,EU_exact_v1\", \"max_workers\": 1, \"timeout_sec\": 300, \"targets_found\": 5, \"targets_processed\": 5}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|581|ingest_cycle_v3                |ok     |2026-04-16 22:16:14.595 +0200|2026-04-16 22:16:14.912 +0200|Ingest cycle finished OK (no work).                     |"{\"owner_id\": \"Kubinak-Petr:1740:20260416221614\", \"lock_name\": \"ingest_cycle_v3\", \"merge_executed\": false, \"planner_output\": \"================================================================================\nMATCHMATRIX INGEST PLANNER WORKER V1\n================================================================================\nBASE_DIR            : C:\\MatchMatrix-platform\nPYTHON_EXE          : C:\\Python314\\python.exe\nRUNNER              : C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py\nPLAYERS_FETCH_RUNNER: C:\\MatchMatrix-platform\\workers\\run_players_fetch_only_v1.py\nLIMIT               : 5\nTIMEOUT SEC         : 300\nLOOP                : False\nPOLL SEC            : 30\nPROVIDER            : api_football\nSPORT               : FB\nENTITY              : fixtures\nRUN GROUP           : EU_top,EU_exact_v1\nMAX ATTEMPTS        : 3\n================================================================================\nPlanner queue je prázdná nebo nic neodpovídá filtrům.\n================================================================================\nWORKER SUMMARY\n================================================================================\nProcessed jobs: 0\n================================================================================\n\", \"processed_jobs\": 0, \"planner_returncode\": 0}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|582|ingest_cycle_v3                |ok     |2026-04-16 22:17:31.260 +0200|2026-04-16 22:17:31.558 +0200|Ingest cycle finished OK (no work).                     |"{\"owner_id\": \"Kubinak-Petr:32324:20260416221731\", \"lock_name\": \"ingest_cycle_v3\", \"merge_executed\": false, \"planner_output\": \"================================================================================\nMATCHMATRIX INGEST PLANNER WORKER V1\n================================================================================\nBASE_DIR            : C:\\MatchMatrix-platform\nPYTHON_EXE          : C:\\Python314\\python.exe\nRUNNER              : C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py\nPLAYERS_FETCH_RUNNER: C:\\MatchMatrix-platform\\workers\\run_players_fetch_only_v1.py\nLIMIT               : 5\nTIMEOUT SEC         : 300\nLOOP                : False\nPOLL SEC            : 30\nPROVIDER            : api_football\nSPORT               : FB\nENTITY              : fixtures\nRUN GROUP           : EU_top,EU_exact_v1\nMAX ATTEMPTS        : 3\n================================================================================\nPlanner queue je prázdná nebo nic neodpovídá filtrům.\n================================================================================\nWORKER SUMMARY\n================================================================================\nProcessed jobs: 0\n================================================================================\n\", \"processed_jobs\": 0, \"planner_returncode\": 0}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|583|ingest_cycle_v3                |ok     |2026-04-16 22:35:27.454 +0200|2026-04-16 22:38:26.593 +0200|Ingest cycle V3 finished OK.                            |"{\"owner_id\": \"Kubinak-Petr:8528:20260416223527\", \"lock_name\": \"ingest_cycle_v3\", \"merge_output\": \"=== UNIFIED STAGING -> PUBLIC CORE MERGE V3 ===\nDetected sports map: {'fb': 1, 'hk': 2, 'bk': 3, 'tn': 4, 'mma': 9, 'drt': 23, 'vb': 10, 'hb': 11, 'bsb': 12, 'rgb': 13, 'ck': 14, 'fh': 15, 'afb': 16, 'esp': 17}\nleagues updated: 2169\nleagues inserted: 6\nleague_provider_map inserted: 6\nteams updated: 3\nteams inserted: 642\nteam_provider_map inserted: 1276\nleague_teams inserted: 540\nplayers updated: 2404\nplayers inserted: 6\nplayer_provider_map inserted: 0\nmatches updated: 1650\nmatches inserted: 79610\n\n=== FINAL COUNTS ===\npublic.leagues: 2994\npublic.league_provider_map: 2188\npublic.teams: 6052\npublic.team_provider_map: 5641\npublic.players: 2435\npublic.player_provider_map: 2435\npublic.matches: 111285\n\nHotovo.\n\", \"merge_executed\": true, \"planner_output\": \"================================================================================\nMATCHMATRIX INGEST PLANNER WORKER V1\n================================================================================\nBASE_DIR            : C:\\MatchMatrix-platform\nPYTHON_EXE          : C:\\Python314\\python.exe\nRUNNER              : C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py\nPLAYERS_FETCH_RUNNER: C:\\MatchMatrix-platform\\workers\\run_players_fetch_only_v1.py\nLIMIT               : 5\nTIMEOUT SEC         : 300\nLOOP                : False\nPOLL SEC            : 30\nPROVIDER            : api_football\nSPORT               : FB\nENTITY              : fixtures\nRUN GROUP           : EU_top,EU_exact_v1\nMAX ATTEMPTS        : 3\n================================================================================\n================================================================================\nPLANNER JOB CLAIMED\n================================================================================\nplanner_id        : 4159\nprovider          : api_football\nsport             : FB\nentity            : fixtures\nprovider_league_id: 184\nseason            : 2024\nrun_group         : EU_top,EU_exact_v1\npriority          : 3\nattempts          : 1\n================================================================================\nRUN: C:\\Python314\\python.exe C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py --provider api_football --sport football --entity fixtures --league-id 184 --season 2024 --run-group EU_top,EU_exact_v1\n--------------------------------------------------------------------------------\n======================================================================\nMATCHMATRIX UNIFIED INGEST V1\n======================================================================\nSTART TIME : 2026-04-16 22:35:27\nRUN ID     : 20260416223527869\nPROVIDER   : api_football\nSPORT      : football\nENTITY     : fixtures\nSEASON     : 2024\nLEAGUE ID  : 184\nRUN GROUP  : EU_top,EU_exact_v1\nDAYS AHEAD : None\nFORCE      : False\n======================================================================\nDISPATCH PARAMS\nentity=fixtures | run_id=20260416223527869 | season=2024 | league_id=184 | run_group=EU_top,EU_exact_v1 | days_ahead=None | force=False\n----------------------------------------------------------------------\nRUN: powershell -ExecutionPolicy Bypass -File C:\\MatchMatrix-platform\\ingest\\API-Football\\pull_api_football_fixtures.ps1 -RunId 20260416223527869 -LeagueId 184 -Season 2024 -From 2024-07-01 -To 2025-06-30\nPulling FIXTURES... league=184 season=2024 from=2024-07-01 to=2025-06-30 run_id=20260416223527869\nFixtures inserted into staging: 182\n----------------------------------------------------------------------\nSUMMARY\n----------------------------------------------------------------------\nSTATUS       : ok\nMESSAGE      : Command finished.\nRETURNCODE   : 0\nSTDOUT LINES : 2\n----------------------------------------------------------------------\nUnified ingest finished OK.\n\n--------------------------------------------------------------------------------\nRESULT: OK\nRETURNCODE: 0\n--------------------------------------------------------------------------------\n================================================================================\nPLANNER JOB CLAIMED\n================================================================================\nplanner_id        : 4160\nprovider          : api_football\nsport             : FB\nentity            : fixtures\nprovider_league_id: 1075\nseason            : 2024\nrun_group         : EU_top,EU_exact_v1\npriority          : 3\nattempts          : 1\n================================================================================\nRUN: C:\\Python314\\python.exe C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py --provider api_football --sport football --entity fixtures --league-id 1075 --season 2024 --run-group EU_top,EU_exact_v1\n--------------------------------------------------------------------------------\n======================================================================\nMATCHMATRIX UNIFIED INGEST V1\n======================================================================\nSTART TIME : 2026-04-16 22:36:13\nRUN ID     : 20260416223613483\nPROVIDER   : api_football\nSPORT      : football\nENTITY     : fixtures\nSEASON     : 2024\nLEAGUE ID  : 1075\nRUN GROUP  : EU_top,EU_exact_v1\nDAYS AHEAD : None\nFORCE      : False\n======================================================================\nDISPATCH PARAMS\nentity=fixtures | run_id=20260416223613483 | season=2024 | league_id=1075 | run_group=EU_top,EU_exact_v1 | days_ahead=None | force=False\n----------------------------------------------------------------------\nRUN: powershell -ExecutionPolicy Bypass -File C:\\MatchMatrix-platform\\ingest\\API-Football\\pull_api_football_fixtures.ps1 -RunId 20260416223613483 -LeagueId 1075 -Season 2024 -From 2024-07-01 -To 2025-06-30\nPulling FIXTURES... league=1075 season=2024 from=2024-07-01 to=2025-06-30 run_id=20260416223613483\nFixtures inserted into staging: 56\n----------------------------------------------------------------------\nSUMMARY\n----------------------------------------------------------------------\nSTATUS       : ok\nMESSAGE      : Command finished.\nRETURNCODE   : 0\nSTDOUT LINES : 2\n----------------------------------------------------------------------\nUnified ingest finished OK.\n\n--------------------------------------------------------------------------------\nRESULT: OK\nRETURNCODE: 0\n--------------------------------------------------------------------------------\n================================================================================\nPLANNER JOB CLAIMED\n================================================================================\nplanner_id        : 4161\nprovider          : api_football\nsport             : FB\nentity            : fixtures\nprovider_league_id: 800\nseason            : 2024\nrun_group         : EU_top,EU_exact_v1\npriority          : 3\nattempts          : 1\n================================================================================\nRUN: C:\\Python314\\python.exe C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py --provider api_football --sport football --entity fixtures --league-id 800 --season 2024 --run-group EU_top,EU_exact_v1\n--------------------------------------------------------------------------------\n======================================================================\nMATCHMATRIX UNIFIED INGEST V1\n======================================================================\nSTART TIME : 2026-04-16 22:36:28\nRUN ID     : 20260416223628115\nPROVIDER   : api_football\nSPORT      : football\nENTITY     : fixtures\nSEASON     : 2024\nLEAGUE ID  : 800\nRUN GROUP  : EU_top,EU_exact_v1\nDAYS AHEAD : None\nFORCE      : False\n======================================================================\nDISPATCH PARAMS\nentity=fixtures | run_id=20260416223628115 | season=2024 | league_id=800 | run_group=EU_top,EU_exact_v1 | days_ahead=None | force=False\n----------------------------------------------------------------------\nRUN: powershell -ExecutionPolicy Bypass -File C:\\MatchMatrix-platform\\ingest\\API-Football\\pull_api_football_fixtures.ps1 -RunId 20260416223628115 -LeagueId 800 -Season 2024 -From 2024-07-01 -To 2025-06-30\nPulling FIXTURES... league=800 season=2024 from=2024-07-01 to=2025-06-30 run_id=20260416223628115\nNo fixtures returned.\n----------------------------------------------------------------------\nSUMMARY\n----------------------------------------------------------------------\nSTATUS       : warning\nMESSAGE      : No fixtures returned for this league/season/date range.\nRETURNCODE   : 0\nSTDOUT LINES : 2\n----------------------------------------------------------------------\nUnified ingest finished with WARNING.\n\n--------------------------------------------------------------------------------\nRESULT: WARNING\nRETURNCODE: 0\n--------------------------------------------------------------------------------\n================================================================================\nPLANNER JOB CLAIMED\n================================================================================\nplanner_id        : 4162\nprovider          : api_football\nsport             : FB\nentity            : fixtures\nprovider_league_id: 1027\nseason            : 2024\nrun_group         : EU_top,EU_exact_v1\npriority          : 3\nattempts          : 1\n================================================================================\nRUN: C:\\Python314\\python.exe C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py --provider api_football --sport football --entity fixtures --league-id 1027 --season 2024 --run-group EU_top,EU_exact_v1\n--------------------------------------------------------------------------------\n======================================================================\nMATCHMATRIX UNIFIED INGEST V1\n======================================================================\nSTART TIME : 2026-04-16 22:36:29\nRUN ID     : 20260416223629048\nPROVIDER   : api_football\nSPORT      : football\nENTITY     : fixtures\nSEASON     : 2024\nLEAGUE ID  : 1027\nRUN GROUP  : EU_top,EU_exact_v1\nDAYS AHEAD : None\nFORCE      : False\n======================================================================\nDISPATCH PARAMS\nentity=fixtures | run_id=20260416223629048 | season=2024 | league_id=1027 | run_group=EU_top,EU_exact_v1 | days_ahead=None | force=False\n----------------------------------------------------------------------\nRUN: powershell -ExecutionPolicy Bypass -File C:\\MatchMatrix-platform\\ingest\\API-Football\\pull_api_football_fixtures.ps1 -RunId 20260416223629048 -LeagueId 1027 -Season 2024 -From 2024-07-01 -To 2025-06-30\nPulling FIXTURES... league=1027 season=2024 from=2024-07-01 to=2025-06-30 run_id=20260416223629048\nFixtures inserted into staging: 240\n----------------------------------------------------------------------\nSUMMARY\n----------------------------------------------------------------------\nSTATUS       : ok\nMESSAGE      : Command finished.\nRETURNCODE   : 0\nSTDOUT LINES : 2\n----------------------------------------------------------------------\nUnified ingest finished OK.\n\n--------------------------------------------------------------------------------\nRESULT: OK\nRETURNCODE: 0\n--------------------------------------------------------------------------------\n================================================================================\nPLANNER JOB CLAIMED\n================================================================================\nplanner_id        : 4163\nprovider          : api_football\nsport             : FB\nentity            : fixtures\nprovider_league_id: 90\nseason            : 2024\nrun_group         : EU_top,EU_exact_v1\npriority          : 3\nattempts          : 1\n================================================================================\nRUN: C:\\Python314\\python.exe C:\\MatchMatrix-platform\\ingest\\run_unified_ingest_v1.py --provider api_football --sport football --entity fixtures --league-id 90 --season 2024 --run-group EU_top,EU_exact_v1\n--------------------------------------------------------------------------------\n======================================================================\nMATCHMATRIX UNIFIED INGEST V1\n======================================================================\nSTART TIME : 2026-04-16 22:37:27\nRUN ID     : 20260416223727489\nPROVIDER   : api_football\nSPORT      : football\nENTITY     : fixtures\nSEASON     : 2024\nLEAGUE ID  : 90\nRUN GROUP  : EU_top,EU_exact_v1\nDAYS AHEAD : None\nFORCE      : False\n======================================================================\nDISPATCH PARAMS\nentity=fixtures | run_id=20260416223727489 | season=2024 | league_id=90 | run_group=EU_top,EU_exact_v1 | days_ahead=None | force=False\n----------------------------------------------------------------------\nRUN: powershell -ExecutionPolicy Bypass -File C:\\MatchMatrix-platform\\ingest\\API-Football\\pull_api_football_fixtures.ps1 -RunId 20260416223727489 -LeagueId 90 -Season 2024 -From 2024-07-01 -To 2025-06-30\nPulling FIXTURES... league=90 season=2024 from=2024-07-01 to=2025-06-30 run_id=20260416223727489\nFixtures inserted into staging: 109\n----------------------------------------------------------------------\nSUMMARY\n----------------------------------------------------------------------\nSTATUS       : ok\nMESSAGE      : Command finished.\nRETURNCODE   : 0\nSTDOUT LINES : 2\n----------------------------------------------------------------------\nUnified ingest finished OK.\n\n--------------------------------------------------------------------------------\nRESULT: OK\nRETURNCODE: 0\n--------------------------------------------------------------------------------\n================================================================================\nWORKER SUMMARY\n================================================================================\nProcessed jobs: 5\n================================================================================\n\", \"processed_jobs\": 5, \"merge_returncode\": 0, \"parse_teams_output\": \"=== PARSE TEAMS (SHORT) ===\nPayloads: 0\nDONE\n\", \"planner_returncode\": 0, \"parse_teams_executed\": true, \"parse_fixtures_output\": \"=== PARSE FIXTURES (SHORT) ===\nPayloads: 13\nProcessed payloads: 13\nFixtures upserted : 7390\nErrors            : 0\nDONE\n\", \"parse_teams_returncode\": 0, \"teams_extractor_output\": \"=== EXTRACT TEAMS FROM FIXTURES RAW ===\nTeams upserted: 2436\n\", \"parse_fixtures_executed\": true, \"teams_extractor_executed\": true, \"parse_fixtures_returncode\": 0, \"teams_extractor_returncode\": 0}"|
