|run_id                |league_id|season|fixture_id|kickoff                      |status|home_team_id|home_team_name|away_team_id|away_team_name|ext_match_check          |identity_check            |
|20,260,416,220,840,601|10       |2,024 |1,308,572 |2024-10-10 11:30:00.000 +0200|FT    |1,556       |              |5,166       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,308,571 |2024-10-10 19:00:00.000 +0200|CANC  |1,112       |Waalwijk      |1,539       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,200,437 |2024-10-10 19:30:00.000 +0200|FT    |1,107       |              |4,460       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,268,558 |2024-10-11 14:00:00.000 +0200|FT    |1,543       |              |1,557       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,223,561 |2024-10-12 13:00:00.000 +0200|CANC  |1,537       |              |1,551       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,310,837 |2024-10-12 13:00:00.000 +0200|FT    |1,542       |              |1,537       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,215,629 |2024-10-13 03:00:00.000 +0200|FT    |2,384       |              |11          |Chapecoense AF|NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,308,573 |2024-10-13 11:30:00.000 +0200|FT    |1,556       |              |5,166       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,296,774 |2024-10-13 18:00:00.000 +0200|FT    |1,110       |Willem II     |1,115       |FC Emmen      |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
|20,260,416,220,840,601|10       |2,024 |1,298,894 |2024-10-14 08:00:00.000 +0200|FT    |4,673       |              |1,538       |              |NOT_FOUND_BY_EXT_MATCH_ID|NOT_FOUND_BY_SAME_IDENTITY|
