|table_name|constraint_name|constraint_type|column_name|foreign_table_schema|foreign_table_name|foreign_column_name|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|bookmaker_id|staging|api_football_odds|season|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|bookmaker_id|staging|api_football_odds|fixture_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|bookmaker_id|staging|api_football_odds|bookmaker_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|bookmaker_id|staging|api_football_odds|market|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|bookmaker_id|staging|api_football_odds|outcome|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|run_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|league_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|season|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|fixture_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|bookmaker_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|market|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|market|staging|api_football_odds|outcome|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|run_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|league_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|season|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|fixture_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|bookmaker_id|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|market|
|api_football_odds|api_football_odds_pkey|PRIMARY KEY|outcome|staging|api_football_odds|outcome|
|api_football_teams|106505_106514_13_not_null|CHECK|||||
|api_football_teams|106505_106514_14_not_null|CHECK|||||
|api_football_teams|106505_106514_1_not_null|CHECK|||||
|api_football_teams|106505_106514_2_not_null|CHECK|||||
|api_football_teams|106505_106514_3_not_null|CHECK|||||
|api_football_teams|106505_106514_4_not_null|CHECK|||||
|api_football_teams|106505_106514_5_not_null|CHECK|||||
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|run_id|staging|api_football_teams|league_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|run_id|staging|api_football_teams|team_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|run_id|staging|api_football_teams|season|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|run_id|staging|api_football_teams|run_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|league_id|staging|api_football_teams|league_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|league_id|staging|api_football_teams|run_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|league_id|staging|api_football_teams|season|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|league_id|staging|api_football_teams|team_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|season|staging|api_football_teams|team_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|season|staging|api_football_teams|run_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|season|staging|api_football_teams|league_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|season|staging|api_football_teams|season|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|team_id|staging|api_football_teams|team_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|team_id|staging|api_football_teams|run_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|team_id|staging|api_football_teams|league_id|
|api_football_teams|api_football_teams_pkey|PRIMARY KEY|team_id|staging|api_football_teams|season|
|api_hockey_leagues|106505_147468_11_not_null|CHECK|||||
