|team_id|provider    |provider_team_id|created_at                   |
|-------|------------|----------------|-----------------------------|
|28,691 |api_football|9380            |2026-03-14 22:28:52.322 +0100|
|28,690 |api_football|9198            |2026-03-14 22:28:52.322 +0100|
|28,689 |api_football|9189            |2026-03-14 22:28:52.322 +0100|
|28,688 |api_football|9187            |2026-03-14 22:28:52.322 +0100|
|28,687 |api_football|9175            |2026-03-14 22:28:52.322 +0100|
|28,686 |api_football|9173            |2026-03-14 22:28:52.322 +0100|
|28,685 |api_football|8530            |2026-03-14 22:28:52.322 +0100|
|28,684 |api_football|8519            |2026-03-14 22:28:52.322 +0100|
|28,683 |api_football|8326            |2026-03-14 22:28:52.322 +0100|
|28,682 |api_football|812             |2026-03-14 22:28:52.322 +0100|
|28,681 |api_football|765             |2026-03-14 22:28:52.322 +0100|
|28,680 |api_football|764             |2026-03-14 22:28:52.322 +0100|
|28,679 |api_football|7580            |2026-03-14 22:28:52.322 +0100|
|28,678 |api_football|711             |2026-03-14 22:28:52.322 +0100|
|28,677 |api_football|7033            |2026-03-14 22:28:52.322 +0100|
|28,676 |api_football|6993            |2026-03-14 22:28:52.322 +0100|
|28,675 |api_football|6831            |2026-03-14 22:28:52.322 +0100|
|28,674 |api_football|6811            |2026-03-14 22:28:52.322 +0100|
|28,673 |api_football|674             |2026-03-14 22:28:52.322 +0100|
|28,672 |api_football|6250            |2026-03-14 22:28:52.322 +0100|
|28,671 |api_football|6237            |2026-03-14 22:28:52.322 +0100|
|28,670 |api_football|5712            |2026-03-14 22:28:52.322 +0100|
|28,669 |api_football|5378            |2026-03-14 22:28:52.322 +0100|
|28,668 |api_football|5066            |2026-03-14 22:28:52.322 +0100|
|28,667 |api_football|5027            |2026-03-14 22:28:52.322 +0100|
|28,666 |api_football|4631            |2026-03-14 22:28:52.322 +0100|
|28,665 |api_football|4615            |2026-03-14 22:28:52.322 +0100|
|28,664 |api_football|4555            |2026-03-14 22:28:52.322 +0100|
|28,663 |api_football|4548            |2026-03-14 22:28:52.322 +0100|
|28,662 |api_football|4545            |2026-03-14 22:28:52.322 +0100|
