"id","sport_id","name","country","ext_source","ext_league_id","ext_csv_code","theodds_key","enabled_theodds","country_id","tier","is_cup","is_international","created_at","updated_at"
5,1,Championship,England,football_data,"2016",E1,soccer_efl_champ,false,22,2,false,false,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
20846,1,Super Cup,Israel,api_football,"659",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20847,1,Super Cup,San-Marino,api_football,"884",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20848,1,Euro Championship,World,api_football,"4",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
4,1,Campeonato Brasileiro Série A,Brazil,football_data,"2013",B1,soccer_brazil_campeonato,false,14,1,false,false,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
20849,1,Eredivisie,Netherlands,api_football,"88",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20850,1,Confederations Cup,World,api_football,"21",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
27,1,Bundesliga,Germany,football_data,"2002",D1,soccer_germany_bundesliga,false,3,1,false,true,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
20851,1,Ligue 2,France,api_football,"62",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
28,1,Serie A,Italy,football_data,"2019",I1,soccer_italy_serie_a,false,4,1,false,true,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
26,1,Ligue 1,France,football_data,"2015",F1,soccer_france_ligue_one,false,5,1,false,true,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
29,1,Eredivisie,Netherlands,football_data,"2003",N1,soccer_netherlands_eredivisie,false,6,1,false,true,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
30,1,Primeira Liga,Portugal,football_data,"2017",P1,soccer_portugal_primeira_liga,false,7,1,false,true,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
20852,1,Ligue 1,France,api_football,"61",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20853,1,Jupiler Pro League,Belgium,api_football,"144",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
