|country    |league_name   |canonical_team_id|canonical_team_name       |
|Italy      |Serie A       |84               |FC Internazionale Milano  |
|Italy      |Serie A       |542              |Genoa CFC                 |
|Italy      |Serie A       |549              |Hellas Verona FC          |
|Italy      |Serie A       |85               |Juventus FC               |
|Italy      |Serie A       |546              |Parma Calcio 1913         |
|Italy      |Serie A       |1,078            |Pisa                      |
|Italy      |Serie A       |1,093            |Spal                      |
|Italy      |Serie A       |86               |SSC Napoli                |
|Italy      |Serie A       |545              |SS Lazio                  |
|Italy      |Serie A       |553              |Torino FC                 |
|Italy      |Serie A       |548              |Udinese Calcio            |
|Italy      |Serie A       |550              |US Cremonese              |
|Italy      |Serie A       |554              |US Lecce                  |
|Italy      |Serie A       |551              |US Sassuolo Calcio        |
|Italy      |Serie A       |1,081            |Verona                    |
|Netherlands|Eredivisie    |95               |AFC Ajax                  |
|Netherlands|Eredivisie    |1,111            |Almere City               |
|Netherlands|Eredivisie    |23,508           |AZ                        |
|Netherlands|Eredivisie    |1,117            |Den Haag                  |
|Netherlands|Eredivisie    |1,115            |FC Emmen                  |
|Netherlands|Eredivisie    |563              |FC Groningen              |
|Netherlands|Eredivisie    |556              |FC Twente '65             |
|Netherlands|Eredivisie    |562              |FC Utrecht                |
|Netherlands|Eredivisie    |23,498           |Feyenoord Rotterdam       |
|Netherlands|Eredivisie    |1,118            |Graafschap                |
|Netherlands|Eredivisie    |558              |Heracles Almelo           |
|Netherlands|Eredivisie    |570              |NEC                       |
|Netherlands|Eredivisie    |21,058           |PSV                       |
|Netherlands|Eredivisie    |557              |SBV Excelsior             |
|Netherlands|Eredivisie    |559              |SC Heerenveen             |
|Netherlands|Eredivisie    |569              |Telstar 1963              |
|Portugal   |Primeira Liga |1,140            |Aves                      |
|Portugal   |Primeira Liga |1,139            |Belenenses                |
|Portugal   |Primeira Liga |588              |Casa Pia AC               |
|Portugal   |Primeira Liga |582              |CD Nacional               |
|Portugal   |Primeira Liga |583              |CD Santa Clara            |
|Portugal   |Primeira Liga |580              |CD Tondela                |
|Portugal   |Primeira Liga |590              |CF Estrela da Amadora     |
|Portugal   |Primeira Liga |589              |FC Alverca                |
|Portugal   |Primeira Liga |579              |FC Arouca                 |
|Portugal   |Primeira Liga |584              |FC Famalicão              |
|Portugal   |Primeira Liga |1,142            |Feirense                  |
|Portugal   |Primeira Liga |577              |GD Estoril Praia          |
|Portugal   |Primeira Liga |585              |Gil Vicente FC            |
|Portugal   |Primeira Liga |578              |Moreirense FC             |
|Portugal   |Primeira Liga |574              |Rio Ave FC                |
|Portugal   |Primeira Liga |1,141            |Setubal                   |
|Portugal   |Primeira Liga |587              |Sporting Clube de Braga   |
|Portugal   |Primeira Liga |87               |Sporting Clube de Portugal|
|Portugal   |Primeira Liga |99               |Sport Lisboa e Benfica    |
|Portugal   |Primeira Liga |586              |Vitória SC                |
