|canonical_country|canonical_league_name|team_id|name                    |ext_source  |ext_team_id|
|Germany          |Bundesliga           |13,527 |SV Darmstadt 98         |api_football|181        |
|Germany          |Bundesliga           |12,081 |SV Elversberg           |api_football|1660       |
|Germany          |Bundesliga           |12,078 |Union Berlin            |api_football|182        |
|Germany          |Bundesliga           |12,074 |VfB Stuttgart           |api_football|172        |
|Germany          |Bundesliga           |12,076 |VfL Bochum              |api_football|176        |
|Germany          |Bundesliga           |12,065 |VfL Wolfsburg           |api_football|161        |
|Germany          |Bundesliga           |12,066 |Werder Bremen           |api_football|162        |
|Italy            |Serie A              |12,122 |AC Milan                |api_football|489        |
|Italy            |Serie A              |12,128 |AS Roma                 |api_football|497        |
|Italy            |Serie A              |12,129 |Atalanta                |api_football|499        |
|Italy            |Serie A              |12,130 |Bologna                 |api_football|500        |
|Italy            |Serie A              |12,123 |Cagliari                |api_football|490        |
|Italy            |Serie A              |12,139 |Como                    |api_football|895        |
|Italy            |Serie A              |13,414 |Cremonese               |api_football|520        |
|Italy            |Serie A              |12,135 |Empoli                  |api_football|511        |
|Italy            |Serie A              |12,131 |Fiorentina              |api_football|502        |
|Italy            |Serie A              |12,751 |Frosinone               |api_football|512        |
|Italy            |Serie A              |12,126 |Genoa                   |api_football|495        |
|Italy            |Serie A              |12,133 |Hellas Verona           |api_football|504        |
|Italy            |Serie A              |12,134 |Inter                   |api_football|505        |
|Italy            |Serie A              |12,127 |Juventus                |api_football|496        |
|Italy            |Serie A              |12,121 |Lazio                   |api_football|487        |
|Italy            |Serie A              |12,138 |Lecce                   |api_football|867        |
|Italy            |Serie A              |12,140 |Monza                   |api_football|1579       |
|Italy            |Serie A              |12,124 |Napoli                  |api_football|492        |
|Italy            |Serie A              |12,137 |Parma                   |api_football|523        |
|Italy            |Serie A              |13,019 |Salernitana             |api_football|514        |
|Italy            |Serie A              |12,491 |Sampdoria               |api_football|498        |
|Italy            |Serie A              |12,303 |Sassuolo                |api_football|488        |
|Italy            |Serie A              |13,383 |Spezia                  |api_football|515        |
|Italy            |Serie A              |12,132 |Torino                  |api_football|503        |
|Italy            |Serie A              |12,125 |Udinese                 |api_football|494        |
|Italy            |Serie A              |12,136 |Venezia                 |api_football|517        |
|Netherlands      |Eredivisie           |12,164 |ADO Den Haag            |api_football|198        |
|Netherlands      |Eredivisie           |12,161 |Ajax                    |api_football|194        |
|Netherlands      |Eredivisie           |12,179 |Almere City FC          |api_football|419        |
|Netherlands      |Eredivisie           |12,166 |AZ Alkmaar              |api_football|201        |
|Netherlands      |Eredivisie           |12,180 |Cambuur                 |api_football|420        |
