|canonical_country|canonical_league_name|canonical_team_id|canonical_team_name|canonical_team_source|canonical_ext_team_id|api_team_id|api_team_name      |api_team_source|api_ext_team_id|
|Netherlands      |Eredivisie           |1,110            |Willem II          |football_data_uk     |Willem II            |12,162     |Willem II          |api_football   |195            |
|Portugal         |Primeira Liga        |591              |AVS                |football_data        |10340                |12,159     |AVS                |api_football   |21595          |
|Portugal         |Primeira Liga        |1,132            |Boavista           |football_data_uk     |Boavista             |12,145     |Boavista           |api_football   |222            |
|Portugal         |Primeira Liga        |1,136            |Chaves             |football_data_uk     |Chaves               |13,956     |Chaves             |api_football   |223            |
|Portugal         |Primeira Liga        |1,133            |Farense            |football_data_uk     |Farense              |12,152     |Farense            |api_football   |231            |
|Portugal         |Primeira Liga        |576              |FC Porto           |football_data        |503                  |12,142     |FC Porto           |api_football   |212            |
|Portugal         |Primeira Liga        |1,137            |Maritimo           |football_data_uk     |Maritimo             |14,641     |Maritimo           |api_football   |214            |
|Portugal         |Primeira Liga        |1,138            |Pacos Ferreira     |football_data_uk     |Pacos Ferreira       |14,073     |Pacos Ferreira     |api_football   |234            |
|Portugal         |Primeira Liga        |1,134            |Portimonense       |football_data_uk     |Portimonense         |14,036     |Portimonense       |api_football   |216            |
|Portugal         |Primeira Liga        |1,135            |Vizela             |football_data_uk     |Vizela               |12,156     |Vizela             |api_football   |810            |
