|canonical_country|canonical_league_name|team_id|name                      |ext_source      |ext_team_id       |
|France           |Ligue 1              |1,027  |Montpellier               |football_data_uk|Montpellier       |
|France           |Ligue 1              |1,023  |Nantes                    |football_data_uk|Nantes            |
|France           |Ligue 1              |1,033  |Nimes                     |football_data_uk|Nimes             |
|France           |Ligue 1              |505    |OGC Nice                  |football_data   |522               |
|France           |Ligue 1              |88     |Olympique de Marseille    |football_data   |516               |
|France           |Ligue 1              |506    |Olympique Lyonnais        |football_data   |523               |
|France           |Ligue 1              |517    |Paris FC                  |football_data   |1045              |
|France           |Ligue 1              |89     |Paris Saint-Germain FC    |football_data   |524               |
|France           |Ligue 1              |514    |Racing Club de Lens       |football_data   |546               |
|France           |Ligue 1              |516    |RC Strasbourg Alsace      |football_data   |576               |
|France           |Ligue 1              |1,025  |Reims                     |football_data_uk|Reims             |
|France           |Ligue 1              |1,010  |Rennes                    |football_data_uk|Rennes            |
|France           |Ligue 1              |501    |Stade Brestois 29         |football_data   |512               |
|France           |Ligue 1              |509    |Stade Rennais FC 1901     |football_data   |529               |
|France           |Ligue 1              |1,026  |St Etienne                |football_data_uk|St Etienne        |
|France           |Ligue 1              |1,022  |Strasbourg                |football_data_uk|Strasbourg        |
|France           |Ligue 1              |500    |Toulouse FC               |football_data   |511               |
|France           |Ligue 1              |1,030  |Troyes                    |football_data_uk|Troyes            |
|Germany          |Bundesliga           |534    |1. FC Heidenheim 1846     |football_data   |44                |
|Germany          |Bundesliga           |518    |1. FC Köln                |football_data   |1                 |
|Germany          |Bundesliga           |533    |1. FC Union Berlin        |football_data   |28                |
|Germany          |Bundesliga           |527    |1. FSV Mainz 05           |football_data   |15                |
|Germany          |Bundesliga           |68     |Bayer 04 Leverkusen       |football_data   |3                 |
|Germany          |Bundesliga           |1,059  |Bielefeld                 |football_data_uk|Bielefeld         |
|Germany          |Bundesliga           |1,055  |Bochum                    |football_data_uk|Bochum            |
|Germany          |Bundesliga           |69     |Borussia Dortmund         |football_data   |4                 |
|Germany          |Bundesliga           |530    |Borussia Mönchengladbach  |football_data   |18                |
|Germany          |Bundesliga           |1,056  |Darmstadt                 |football_data_uk|Darmstadt         |
|Germany          |Bundesliga           |71     |Eintracht Frankfurt       |football_data   |19                |
|Germany          |Bundesliga           |528    |FC Augsburg               |football_data   |16                |
