|theodds_key                      |canonical_league_name|event_name                                       |home_raw                  |away_raw                      |home_normalized         |away_normalized          |home_team_id|home_team_name             |away_team_id|away_team_name                |home_team_matches_in_league|away_team_matches_in_league|
|soccer_conmebol_copa_libertadores|Copa Libertadores    |Universidad Católica (CHI) vs Boca Juniors       |Universidad Católica (CHI)|Boca Juniors                  |universidad catolica chi|boca juniors             |10,979      |Universidad Catolica       |35,239      |CA Boca Juniors               |2                          |6                          |
|soccer_netherlands_eredivisie    |Eredivisie           |AZ Alkmaar vs Fortuna Sittard                    |AZ Alkmaar                |Fortuna Sittard               |az alkmaar              |fortuna sittard          |12,166      |AZ Alkmaar                 |12,169      |Fortuna Sittard               |0                          |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |AZ Alkmaar vs Fortuna Sittard                    |AZ Alkmaar                |Fortuna Sittard               |az alkmaar              |fortuna sittard          |12,166      |AZ Alkmaar                 |572         |Fortuna Sittard               |0                          |287                        |
|soccer_netherlands_eredivisie    |Eredivisie           |AZ Alkmaar vs Fortuna Sittard                    |AZ Alkmaar                |Fortuna Sittard               |az alkmaar              |fortuna sittard          |1,106       |AZ Alkmaar                 |12,169      |Fortuna Sittard               |252                        |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |FC Volendam vs Feyenoord                         |FC Volendam               |Feyenoord                     |volendam                |feyenoord                |571         |FC Volendam                |27,529      |Feyenoord                     |125                        |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |Go Ahead Eagles vs FC Zwolle                     |Go Ahead Eagles           |FC Zwolle                     |go ahead eagles         |zwolle                   |12,175      |GO Ahead Eagles            |567         |PEC Zwolle                    |0                          |253                        |
|soccer_netherlands_eredivisie    |Eredivisie           |NEC Nijmegen vs Feyenoord                        |NEC Nijmegen              |Feyenoord                     |nec nijmegen            |feyenoord                |570         |NEC                        |27,529      |Feyenoord                     |192                        |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |NEC Nijmegen vs Feyenoord                        |NEC Nijmegen              |Feyenoord                     |nec nijmegen            |feyenoord                |12,176      |NEC Nijmegen               |1,098       |Feyenoord                     |0                          |252                        |
|soccer_netherlands_eredivisie    |Eredivisie           |NEC Nijmegen vs Feyenoord                        |NEC Nijmegen              |Feyenoord                     |nec nijmegen            |feyenoord                |12,176      |NEC Nijmegen               |27,529      |Feyenoord                     |0                          |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |PSV Eindhoven vs FC Utrecht                      |PSV Eindhoven             |FC Utrecht                    |psv eindhoven           |utrecht                  |1,101       |PSV Eindhoven              |12,171      |Utrecht                       |253                        |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |PSV Eindhoven vs FC Utrecht                      |PSV Eindhoven             |FC Utrecht                    |psv eindhoven           |utrecht                  |12,163      |PSV Eindhoven              |562         |FC Utrecht                    |0                          |286                        |
|soccer_netherlands_eredivisie    |Eredivisie           |PSV Eindhoven vs FC Utrecht                      |PSV Eindhoven             |FC Utrecht                    |psv eindhoven           |utrecht                  |12,163      |PSV Eindhoven              |12,171      |Utrecht                       |0                          |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |Sparta Rotterdam vs PSV Eindhoven                |Sparta Rotterdam          |PSV Eindhoven                 |sparta rotterdam        |psv eindhoven            |12,182      |Sparta Rotterdam           |1,101       |PSV Eindhoven                 |0                          |253                        |
|soccer_netherlands_eredivisie    |Eredivisie           |Sparta Rotterdam vs PSV Eindhoven                |Sparta Rotterdam          |PSV Eindhoven                 |sparta rotterdam        |psv eindhoven            |573         |Sparta Rotterdam           |12,163      |PSV Eindhoven                 |252                        |0                          |
|soccer_netherlands_eredivisie    |Eredivisie           |Sparta Rotterdam vs PSV Eindhoven                |Sparta Rotterdam          |PSV Eindhoven                 |sparta rotterdam        |psv eindhoven            |12,182      |Sparta Rotterdam           |12,163      |PSV Eindhoven                 |0                          |0                          |
|soccer_fifa_world_cup            |FIFA World Cup       |Australia vs Jordan                              |Australia                 |Jordan                        |australia               |jordan                   |644         |Australia                  |664         |Jordan                        |3                          |3                          |
|soccer_fifa_world_cup            |FIFA World Cup       |Australia vs Jordan                              |Australia                 |Jordan                        |australia               |jordan                   |644         |Australia                  |664         |Jordan                        |3                          |3                          |
|soccer_fifa_world_cup            |FIFA World Cup       |Iraq vs Norway                                   |Iraq                      |Norway                        |iraq                    |norway                   |73,438      |Iraq                       |667         |Norway                        |0                          |3                          |
|soccer_fifa_world_cup            |FIFA World Cup       |Ivory Coast vs Ecuador                           |Ivory Coast               |Ecuador                       |ivory coast             |ecuador                  |11,897      |Ivory Coast                |647         |Ecuador                       |0                          |3                          |
|soccer_fifa_world_cup            |FIFA World Cup       |Portugal vs DR Congo                             |Portugal                  |DR Congo                      |portugal                |dr congo                 |106         |Portugal                   |73,435      |DR Congo                      |3                          |0                          |
|soccer_fifa_world_cup            |FIFA World Cup       |USA vs Australia                                 |USA                       |Australia                     |usa                     |australia                |11,896      |USA                        |644         |Australia                     |0                          |3                          |
|soccer_fifa_world_cup            |FIFA World Cup       |USA vs Paraguay                                  |USA                       |Paraguay                      |usa                     |paraguay                 |11,896      |USA                        |631         |Paraguay                      |0                          |3                          |
|soccer_france_ligue_one          |Ligue 1              |Angers vs Lyon                                   |Angers                    |Lyon                          |angers                  |lyon                     |12,102      |Angers                     |506         |Olympique Lyonnais            |0                          |304                        |
|soccer_france_ligue_one          |Ligue 1              |Angers vs Lyon                                   |Angers                    |Lyon                          |angers                  |lyon                     |1,018       |Angers                     |12,104      |Lyon                          |236                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Angers vs Lyon                                   |Angers                    |Lyon                          |angers                  |lyon                     |12,102      |Angers                     |12,104      |Lyon                          |0                          |0                          |
|soccer_france_ligue_one          |Ligue 1              |Auxerre vs Nantes                                |Auxerre                   |Nantes                        |auxerre                 |nantes                   |12,116      |Auxerre                    |1,023       |Nantes                        |0                          |270                        |
|soccer_france_ligue_one          |Ligue 1              |Auxerre vs Nantes                                |Auxerre                   |Nantes                        |auxerre                 |nantes                   |12,116      |Auxerre                    |12,107      |Nantes                        |0                          |0                          |
|soccer_france_ligue_one          |Ligue 1              |Auxerre vs Nantes                                |Auxerre                   |Nantes                        |auxerre                 |nantes                   |1,019       |Auxerre                    |12,107      |Nantes                        |94                         |0                          |
|soccer_france_ligue_one          |Ligue 1              |Brest vs Rennes                                  |Brest                     |Rennes                        |brest                   |rennes                   |1,016       |Brest                      |12,112      |Rennes                        |232                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Brest vs Strasbourg                              |Brest                     |Strasbourg                    |brest                   |strasbourg               |1,016       |Brest                      |12,113      |Strasbourg                    |232                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Le Havre vs Auxerre                              |Le Havre                  |Auxerre                       |le havre                |auxerre                  |27,639      |Le Havre                   |12,116      |Auxerre                       |0                          |0                          |
|soccer_france_ligue_one          |Ligue 1              |Le Havre vs Auxerre                              |Le Havre                  |Auxerre                       |le havre                |auxerre                  |27,639      |Le Havre                   |1,019       |Auxerre                       |0                          |94                         |
|soccer_france_ligue_one          |Ligue 1              |Le Havre vs Auxerre                              |Le Havre                  |Auxerre                       |le havre                |auxerre                  |511         |Le Havre AC                |12,116      |Auxerre                       |124                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Lille vs RC Lens                                 |Lille                     |RC Lens                       |lille                   |rc lens                  |12,103      |Lille                      |1,012       |Lens                          |0                          |204                        |
|soccer_france_ligue_one          |Ligue 1              |RC Lens vs Paris Saint Germain                   |RC Lens                   |Paris Saint Germain           |rc lens                 |paris saint germain      |1,012       |Lens                       |12,109      |Paris Saint Germain           |204                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Rennes vs Angers                                 |Rennes                    |Angers                        |rennes                  |angers                   |12,112      |Rennes                     |1,018       |Angers                        |0                          |236                        |
|soccer_france_ligue_one          |Ligue 1              |Rennes vs Angers                                 |Rennes                    |Angers                        |rennes                  |angers                   |1,010       |Rennes                     |12,102      |Angers                        |270                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Rennes vs Angers                                 |Rennes                    |Angers                        |rennes                  |angers                   |12,112      |Rennes                     |12,102      |Angers                        |0                          |0                          |
|soccer_france_ligue_one          |Ligue 1              |Strasbourg vs Nice                               |Strasbourg                |Nice                          |strasbourg              |nice                     |12,113      |Strasbourg                 |505         |OGC Nice                      |0                          |304                        |
|soccer_france_ligue_one          |Ligue 1              |Strasbourg vs Nice                               |Strasbourg                |Nice                          |strasbourg              |nice                     |1,022       |Strasbourg                 |12,108      |Nice                          |269                        |0                          |
|soccer_france_ligue_one          |Ligue 1              |Strasbourg vs Nice                               |Strasbourg                |Nice                          |strasbourg              |nice                     |12,113      |Strasbourg                 |12,108      |Nice                          |0                          |0                          |
|soccer_epl                       |Premier League       |Burnley vs Brighton and Hove Albion              |Burnley                   |Brighton and Hove Albion      |burnley                 |brighton and hove albion |12,186      |Burnley                    |950         |Brighton                      |0                          |0                          |
|soccer_epl                       |Premier League       |Burnley vs Brighton and Hove Albion              |Burnley                   |Brighton and Hove Albion      |burnley                 |brighton and hove albion |60          |Burnley FC                 |950         |Brighton                      |254                        |0                          |
|soccer_epl                       |Premier League       |Crystal Palace vs Newcastle United               |Crystal Palace            |Newcastle United              |crystal palace          |newcastle united         |63          |Crystal Palace FC          |949         |Newcastle                     |330                        |0                          |
|soccer_epl                       |Premier League       |Crystal Palace vs Newcastle United               |Crystal Palace            |Newcastle United              |crystal palace          |newcastle united         |11,918      |Crystal Palace             |949         |Newcastle                     |0                          |0                          |
|soccer_epl                       |Premier League       |Leeds United vs Wolverhampton Wanderers          |Leeds United              |Wolverhampton Wanderers       |leeds united            |wolverhampton wanderers  |956         |Leeds                      |59          |Wolverhampton Wanderers FC    |0                          |330                        |
|soccer_epl                       |Premier League       |Manchester United vs Leeds United                |Manchester United         |Leeds United                  |manchester united       |leeds united             |11,903      |Manchester United          |956         |Leeds                         |0                          |0                          |
|soccer_epl                       |Premier League       |Manchester United vs Leeds United                |Manchester United         |Leeds United                  |manchester united       |leeds united             |55          |Manchester United FC       |956         |Leeds                         |330                        |0                          |
|soccer_epl                       |Premier League       |Newcastle United vs Bournemouth                  |Newcastle United          |Bournemouth                   |newcastle united        |bournemouth              |949         |Newcastle                  |67          |AFC Bournemouth               |0                          |254                        |
|soccer_epl                       |Premier League       |Newcastle United vs Bournemouth                  |Newcastle United          |Bournemouth                   |newcastle united        |bournemouth              |949         |Newcastle                  |11,905      |Bournemouth                   |0                          |0                          |
|soccer_epl                       |Premier League       |Tottenham Hotspur vs Brighton and Hove Albion    |Tottenham Hotspur         |Brighton and Hove Albion      |tottenham hotspur       |brighton and hove albion |58          |Tottenham Hotspur FC       |950         |Brighton                      |330                        |0                          |
|soccer_portugal_primeira_liga    |Primeira Liga        |Nacional vs CF Estrela                           |Nacional                  |CF Estrela                    |nacional                |estrela                  |12,147      |Nacional                   |590         |CF Estrela da Amadora         |0                          |124                        |
|soccer_portugal_primeira_liga    |Primeira Liga        |Nacional vs CF Estrela                           |Nacional                  |CF Estrela                    |nacional                |estrela                  |12,147      |Nacional                   |12,158      |Estrela                       |0                          |0                          |
|soccer_portugal_primeira_liga    |Primeira Liga        |Nacional vs CF Estrela                           |Nacional                  |CF Estrela                    |nacional                |estrela                  |582         |CD Nacional                |12,158      |Estrela                       |158                        |0                          |
|soccer_spain_la_liga             |Primera Division     |Atlético Madrid vs Barcelona                     |Atlético Madrid           |Barcelona                     |atletico madrid         |barcelona                |12,083      |Atletico Madrid            |80          |FC Barcelona                  |0                          |328                        |
|soccer_spain_la_liga             |Primera Division     |Atlético Madrid vs Barcelona                     |Atlético Madrid           |Barcelona                     |atletico madrid         |barcelona                |12,083      |Atletico Madrid            |12,082      |Barcelona                     |0                          |0                          |
|soccer_spain_la_liga             |Primera Division     |Sevilla vs Atlético Madrid                       |Sevilla                   |Atlético Madrid               |sevilla                 |atletico madrid          |626         |Sevilla FC                 |12,083      |Atletico Madrid               |328                        |0                          |
|soccer_spain_la_liga             |Primera Division     |Sevilla vs Atlético Madrid                       |Sevilla                   |Atlético Madrid               |sevilla                 |atletico madrid          |27,747      |Sevilla                    |12,083      |Atletico Madrid               |0                          |0                          |
|soccer_italy_serie_a             |Serie A              |AS Roma vs Pisa                                  |AS Roma                   |Pisa                          |as roma                 |pisa                     |12,128      |AS Roma                    |1,078       |Pisa                          |0                          |25                         |
|soccer_italy_serie_a             |Serie A              |Cagliari vs Cremonese                            |Cagliari                  |Cremonese                     |cagliari                |cremonese                |12,123      |Cagliari                   |550         |US Cremonese                  |0                          |101                        |
|soccer_italy_serie_a             |Serie A              |Cagliari vs Cremonese                            |Cagliari                  |Cremonese                     |cagliari                |cremonese                |12,123      |Cagliari                   |26,491      |Cremonese                     |0                          |0                          |
|soccer_italy_serie_a             |Serie A              |Cagliari vs Cremonese                            |Cagliari                  |Cremonese                     |cagliari                |cremonese                |1,073       |Cagliari                   |26,491      |Cremonese                     |253                        |0                          |
