|canonical_country|canonical_league_name|api_team_id|api_team_name           |api_ext_team_id|
|Netherlands      |Eredivisie           |12,177     |Twente                  |415            |
|Netherlands      |Eredivisie           |12,171     |Utrecht                 |207            |
|Portugal         |Primeira Liga        |12,153     |Arouca                  |240            |
|Portugal         |Primeira Liga        |12,141     |Benfica                 |211            |
|Portugal         |Primeira Liga        |12,157     |Casa Pia                |4716           |
|Portugal         |Primeira Liga        |12,151     |Estoril                 |230            |
|Portugal         |Primeira Liga        |12,158     |Estrela                 |15130          |
|Portugal         |Primeira Liga        |12,154     |Famalicao               |242            |
|Portugal         |Primeira Liga        |12,155     |GIL Vicente             |762            |
|Portugal         |Primeira Liga        |12,146     |Guimaraes               |224            |
|Portugal         |Primeira Liga        |12,143     |Moreirense              |215            |
|Portugal         |Primeira Liga        |12,147     |Nacional                |225            |
|Portugal         |Primeira Liga        |12,148     |Rio Ave                 |226            |
|Portugal         |Primeira Liga        |12,149     |Santa Clara             |227            |
|Portugal         |Primeira Liga        |12,144     |SC Braga                |217            |
|Portugal         |Primeira Liga        |12,150     |Sporting CP             |228            |
