|country    |league_name   |canonical_team_id|canonical_team_name      |api_team_id|api_team_name      |
|Netherlands|Eredivisie    |1,115            |FC Emmen                 |13,306     |Emmen              |
|Netherlands|Eredivisie    |563              |FC Groningen             |12,167     |Groningen          |
|Netherlands|Eredivisie    |556              |FC Twente '65            |12,177     |Twente             |
|Netherlands|Eredivisie    |562              |FC Utrecht               |12,171     |Utrecht            |
|Netherlands|Eredivisie    |1,118            |Graafschap               |12,165     |De Graafschap      |
|Netherlands|Eredivisie    |558              |Heracles Almelo          |12,170     |Heracles           |
|Netherlands|Eredivisie    |570              |NEC                      |12,176     |NEC Nijmegen       |
|Netherlands|Eredivisie    |557              |SBV Excelsior            |13,365     |Excelsior          |
|Netherlands|Eredivisie    |559              |SC Heerenveen            |12,173     |Heerenveen         |
|Netherlands|Eredivisie    |569              |Telstar 1963             |12,183     |Telstar            |
|Portugal   |Primeira Liga |588              |Casa Pia AC              |12,157     |Casa Pia           |
|Portugal   |Primeira Liga |582              |CD Nacional              |12,147     |Nacional           |
|Portugal   |Primeira Liga |583              |CD Santa Clara           |12,149     |Santa Clara        |
|Portugal   |Primeira Liga |590              |CF Estrela da Amadora    |12,158     |Estrela            |
|Portugal   |Primeira Liga |579              |FC Arouca                |12,153     |Arouca             |
|Portugal   |Primeira Liga |577              |GD Estoril Praia         |12,151     |Estoril            |
|Portugal   |Primeira Liga |585              |Gil Vicente FC           |12,155     |GIL Vicente        |
|Portugal   |Primeira Liga |578              |Moreirense FC            |12,143     |Moreirense         |
|Portugal   |Primeira Liga |574              |Rio Ave FC               |12,148     |Rio Ave            |
|Portugal   |Primeira Liga |99               |Sport Lisboa e Benfica   |12,141     |Benfica            |
