|table_name|constraint_name|constraint_type|column_name|foreign_table_schema|foreign_table_name|foreign_column_name|
|ingest_targets|106567_106569_14_not_null|CHECK|||||
|ingest_targets|106567_106569_15_not_null|CHECK|||||
|ingest_targets|106567_106569_1_not_null|CHECK|||||
|ingest_targets|106567_106569_2_not_null|CHECK|||||
|ingest_targets|106567_106569_3_not_null|CHECK|||||
|ingest_targets|106567_106569_4_not_null|CHECK|||||
|ingest_targets|106567_106569_5_not_null|CHECK|||||
|ingest_targets|106567_106569_6_not_null|CHECK|||||
|ingest_targets|106567_106569_7_not_null|CHECK|||||
|ingest_targets|106567_106569_8_not_null|CHECK|||||
|ingest_targets|106567_106569_9_not_null|CHECK|||||
|ingest_targets|ingest_targets_canonical_league_id_fkey|FOREIGN KEY|canonical_league_id||||
|ingest_targets|ingest_targets_pkey|PRIMARY KEY|id|ops|ingest_targets|id|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|provider|ops|ingest_targets|provider|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|provider|ops|ingest_targets|provider_league_id|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|provider|ops|ingest_targets|season|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|provider_league_id|ops|ingest_targets|provider|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|provider_league_id|ops|ingest_targets|provider_league_id|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|provider_league_id|ops|ingest_targets|season|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|season|ops|ingest_targets|provider|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|season|ops|ingest_targets|provider_league_id|
|ingest_targets|ingest_targets_provider_provider_league_id_season_key|UNIQUE|season|ops|ingest_targets|season|
|job_runs|106567_106605_11_not_null|CHECK|||||
|job_runs|106567_106605_1_not_null|CHECK|||||
|job_runs|106567_106605_2_not_null|CHECK|||||
|job_runs|106567_106605_3_not_null|CHECK|||||
|job_runs|106567_106605_5_not_null|CHECK|||||
|job_runs|106567_106605_6_not_null|CHECK|||||
|job_runs|106567_106605_8_not_null|CHECK|||||
|job_runs|job_runs_job_code_fkey|FOREIGN KEY|job_code|ops|jobs|code|
|job_runs|job_runs_pkey|PRIMARY KEY|id|ops|job_runs|id|
|jobs|106567_106593_1_not_null|CHECK|||||
|jobs|106567_106593_2_not_null|CHECK|||||
|jobs|106567_106593_5_not_null|CHECK|||||
|jobs|106567_106593_6_not_null|CHECK|||||
|jobs|106567_106593_7_not_null|CHECK|||||
|jobs|106567_106593_8_not_null|CHECK|||||
|jobs|jobs_pkey|PRIMARY KEY|code|ops|jobs|code|
|league_import_plan|106567_139286_12_not_null|CHECK|||||
|league_import_plan|106567_139286_13_not_null|CHECK|||||
|league_import_plan|106567_139286_1_not_null|CHECK|||||
|league_import_plan|106567_139286_2_not_null|CHECK|||||
|league_import_plan|106567_139286_3_not_null|CHECK|||||
|league_import_plan|106567_139286_4_not_null|CHECK|||||
|league_import_plan|106567_139286_5_not_null|CHECK|||||
