team_name,count,leagues
Atlético Madrid,4,"soccer_spain_la_liga,soccer_uefa_champs_league"
Bayer Leverkusen,3,"soccer_germany_bundesliga,soccer_uefa_champs_league"
Bayern Munich,3,"soccer_germany_bundesliga,soccer_uefa_champs_league"
1. FC Heidenheim,2,soccer_germany_bundesliga
Ajax,2,soccer_netherlands_eredivisie
Alavés,2,soccer_spain_la_liga
Athletic Bilbao,2,soccer_spain_la_liga
Atletico Mineiro,2,soccer_brazil_campeonato
Atletico Paranaense,2,soccer_brazil_campeonato
Bahia,2,soccer_brazil_campeonato
Bologna,2,soccer_italy_serie_a
Botafogo,2,soccer_brazil_campeonato
Bragantino-SP,2,soccer_brazil_campeonato
Brighton and Hove Albion,2,soccer_epl
Celta Vigo,2,soccer_spain_la_liga
Chapecoense,2,soccer_brazil_campeonato
Corinthians,2,soccer_brazil_campeonato
Coritiba,2,soccer_brazil_campeonato
Cremonese,2,soccer_italy_serie_a
Cruzeiro,2,soccer_brazil_campeonato
Espanyol,2,soccer_spain_la_liga
Excelsior,2,soccer_netherlands_eredivisie
FC St. Pauli,2,soccer_germany_bundesliga
FC Twente Enschede,2,soccer_netherlands_eredivisie
FC Zwolle,2,soccer_netherlands_eredivisie
Fiorentina,2,soccer_italy_serie_a
Flamengo,2,soccer_brazil_campeonato
Genoa,2,soccer_italy_serie_a
Grêmio,2,soccer_brazil_campeonato
Inter Milan,2,soccer_italy_serie_a
Lazio,2,soccer_italy_serie_a
Lecce,2,soccer_italy_serie_a
Levante,2,soccer_spain_la_liga
Lille,2,soccer_france_ligue_one
Lyon,2,soccer_france_ligue_one
Mallorca,2,soccer_spain_la_liga
Marseille,2,soccer_france_ligue_one
Napoli,2,soccer_italy_serie_a
NEC Nijmegen,2,soccer_netherlands_eredivisie
Nice,2,soccer_france_ligue_one
Oviedo,2,soccer_spain_la_liga
Palmeiras,2,soccer_brazil_campeonato
Parma,2,soccer_italy_serie_a
Rayo Vallecano,2,soccer_spain_la_liga
Real Betis,2,soccer_spain_la_liga
Real Sociedad,2,soccer_spain_la_liga
Remo,2,soccer_brazil_campeonato
Sassuolo,2,soccer_italy_serie_a
SC Telstar,2,soccer_netherlands_eredivisie
Sporting Lisbon,2,"soccer_portugal_primeira_liga,soccer_uefa_champs_league"
TSG Hoffenheim,2,soccer_germany_bundesliga
Udinese,2,soccer_italy_serie_a
Vasco da Gama,2,soccer_brazil_campeonato
AVS Futebol SAD,1,soccer_portugal_primeira_liga
Benfica,1,soccer_portugal_primeira_liga
Braga,1,soccer_portugal_primeira_liga
Cape Verde,1,soccer_fifa_world_cup
CF Estrela,1,soccer_portugal_primeira_liga
Estoril,1,soccer_portugal_primeira_liga
Galatasaray,1,soccer_uefa_champs_league
Nacional,1,soccer_portugal_primeira_liga
Santa Clara,1,soccer_portugal_primeira_liga
Tondela,1,soccer_portugal_primeira_liga
