|external_team_id|team_name               |raw_norm                |simple_normalized      |
|3491            |Rak?w Cz?stochowa       |rak?w cz?stochowa       |rakw czstochowa        |
|9632            |Real Avil?s             |real avil?s             |real avils             |
|5274            |Real Ja?n               |real ja?n               |real jan               |
|9736            |Real ?vila              |real ?vila              |real vila              |
|6951            |Resovia Rzesz?w         |resovia rzesz?w         |resovia rzeszw         |
|4379            |Roga?ka                 |roga?ka                 |rogaka                 |
|6953            |Ruch Chorz?w            |ruch chorz?w            |ruch chorzw            |
|3492            |Sandecja Nowy S?cz      |sandecja nowy s?cz      |sandecja nowy scz      |
|9601            |Sanluque?o              |sanluque?o              |sanluqueo              |
|4199            |S?bail                  |s?bail                  |sbail                  |
|6232            |SCM Gloria Buz?u        |scm gloria buz?u        |scm gloria buzu        |
|9411            |SD Logro??s             |sd logro??s             |sd logros              |
|6954            |SKRA Cz?stochowa        |skra cz?stochowa        |skra czstochowa        |
|6698            |Sk?vde AIK              |sk?vde aik              |skvde aik              |
|10543           |Slavoj Trebi?ov         |slavoj trebi?ov         |slavoj trebiov         |
|8623            |Slov?cko II             |slov?cko ii             |slovcko ii             |
|7350            |Sokol Hostou?           |sokol hostou?           |sokol hostou           |
|25040           |Sporting Mah?n          |sporting mah?n          |sporting mahn          |
|6957            |Stal Rzesz?w            |stal rzesz?w            |stal rzeszw            |
|7033            |Stj?rdals-Blink         |stj?rdals-blink         |stjrdals-blink         |
|5503            |Sumqay?t                |sumqay?t                |sumqayt                |
|4362            |Tabor Se?ana            |tabor se?ana            |tabor seana            |
|10550           |Tatran Pre?ov           |tatran pre?ov           |tatran preov           |
|777             |T?rkiye                 |t?rkiye                 |trkiye                 |
|5280            |UD Logro??s             |ud logro??s             |ud logros              |
|8624            |Uhersk? Brod            |uhersk? brod            |uhersk brod            |
|7369            |Uni?ov                  |uni?ov                  |uniov                  |
|17136           |Unirea Constan?a        |unirea constan?a        |unirea constana        |
|7373            |Velk? Mezi????          |velk? mezi????          |velk mezi              |
|6927            |Viitorul ?elimb?r       |viitorul ?elimb?r       |viitorul elimbr        |
|3729            |Viktoria ?i?kov         |viktoria ?i?kov         |viktoria ikov          |
|8620            |Viktoria Plze? II       |viktoria plze? ii       |viktoria plze ii       |
|3732            |V?tkovice               |v?tkovice               |vtkovice               |
|3496            |Warta Pozna?            |warta pozna?            |warta pozna            |
|6962            |Widzew ??d?             |widzew ??d?             |widzew d               |
|16272           |Wis?a Pu?awy            |wis?a pu?awy            |wisa puawy             |
|6963            |Zag??bie Lubin II       |zag??bie lubin ii       |zagbie lubin ii        |
|8625            |Zl?n II                 |zl?n ii                 |zln ii                 |
|6964            |Znicz Pruszk?w          |znicz pruszk?w          |znicz pruszkw          |
