|bucket                 |provider    |external_team_id|team_name               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10354           |Albania U19             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|11017           |Algeria U20             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10187           |Argentina U23           |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21460           |Austria U18             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8180            |Austria U21             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22425           |Belgium U18             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19080           |Canada U20 W            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|17262           |China PR U20            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10932           |China PR U23            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19082           |Costa Rica U20 W        |
|YOUTH_OR_WOMEN_NATIONAL|api_football|23256           |Cyprus U18              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8187            |Cyprus U21              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22580           |Czech Republic U16      |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8188            |Czech Republic U21      |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22428           |Denmark U18             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8189            |Denmark U21             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|17871           |Dominican Republic U23  |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21367           |Dominican Republic W U20|
|YOUTH_OR_WOMEN_NATIONAL|api_football|11027           |Egypt U20               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21466           |England U18             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10361           |Estonia U19             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|16621           |France U23              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|23257           |Georgia U18             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8195            |Georgia U21             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22430           |Germany U16             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|20547           |Guinea U23              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|16500           |Hungary U21             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|23260           |Iceland U20             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10935           |India U23               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21057           |Indonesia U20           |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10936           |Indonesia U23           |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22255           |Italy U16               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19071           |Italy U18               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21368           |Jamaica W U20           |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22724           |Japan U16               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10176           |Japan U23               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19627           |Jordan U20              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|11034           |Kenya U20               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|11037           |Malawi U20              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10945           |Malaysia U23            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|20551           |Mali U23                |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10372           |Malta U19               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8208            |Malta U21               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|11038           |Mauritania U20          |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19088           |Mexico U20 W            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10178           |Mexico U23              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10373           |Moldova U19             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8209            |Moldova U21             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21302           |Morocco U17             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19072           |Morocco U18             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10179           |Morocco U23             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8211            |Netherlands U21         |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8213            |Northern Ireland U21    |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21472           |North Macedonia U18     |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10342           |Norway U19              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8214            |Norway U21              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21369           |Panama W U20            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22925           |Paraguay U23            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19073           |Portugal U18            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10299           |Portugal U20            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21370           |Puerto Rico W U20       |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10954           |Qatar U23               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10955           |Saudi Arabia U23        |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8223            |Slovakia U21            |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8224            |Spain U21               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8225            |Sweden U21              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21059           |Syria U20               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10959           |Tajikistan U23          |
|YOUTH_OR_WOMEN_NATIONAL|api_football|22930           |Tunisia U17             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|11049           |Tunisia U20             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19075           |Turkey U18              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8227            |Turkey U21              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8228            |Ukraine U21             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|19091           |United States U20 W     |
|YOUTH_OR_WOMEN_NATIONAL|api_football|17883           |United States U23       |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10963           |Uzbekistan U23          |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10964           |Vietnam U23             |
|YOUTH_OR_WOMEN_NATIONAL|api_football|21481           |Wales U18               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|8229            |Wales U21               |
|YOUTH_OR_WOMEN_NATIONAL|api_football|10316           |Zambia U20              |
|YOUTH_OR_WOMEN_NATIONAL|api_football|16198           |Zimbabwe U20            |
