|provider_league_id|league_name   |season|player_id|name                  |team_id|team_name                |ext_source  |ext_player_id|
|39                |Premier League|2022  |2,248    |S. Murray             |55     |Manchester United FC     |api_football|284391       |
|39                |Premier League|2022  |2,267    |T. Fredricson         |55     |Manchester United FC     |api_football|328101       |
|39                |Premier League|2022  |2,308    |V. Lindelöf           |55     |Manchester United FC     |api_football|889          |
|39                |Premier League|2022  |2,215    |T. Livramento         |11,909 |Southampton              |api_football|158694       |
|39                |Premier League|2022  |2,258    |Joshua Keeley         |11,913 |Tottenham                |api_football|291022       |
|39                |Premier League|2022  |2,268    |R. Flamingo           |13,027 |Vitesse                  |api_football|342054       |
|39                |Premier League|2022  |2,261    |D. Rice               |11,914 |West Ham                 |api_football|2937         |
|39                |Premier League|2022  |2,225    |Mark Noble            |11,914 |West Ham                 |api_football|18826        |
|39                |Premier League|2022  |2,256    |James Storer          |11,907 |Wolves                   |api_football|288115       |
|39                |Premier League|2022  |2,224    |M. Gibbs-White        |11,907 |Wolves                   |api_football|18746        |
|39                |Premier League|2022  |2,223    |W. Boly               |11,907 |Wolves                   |api_football|18739        |
|39                |Premier League|2022  |2,243    |A. Raikhy             |       |                         |api_football|283289       |
|39                |Premier League|2022  |2,204    |A. Sambi Lokonga      |       |                         |api_football|1427         |
|39                |Premier League|2022  |2,249    |B. Elliott            |       |                         |api_football|284405       |
|39                |Premier League|2022  |2,230    |B. Genesini           |       |                         |api_football|196000       |
|39                |Premier League|2022  |2,198    |B. Gilmour            |       |                         |api_football|130423       |
|39                |Premier League|2022  |2,304    |B. Mendy              |       |                         |api_football|623          |
|39                |Premier League|2022  |2,232    |B. White              |       |                         |api_football|19959        |
|39                |Premier League|2022  |2,262    |C. Nørgaard           |       |                         |api_football|30407        |
|39                |Premier League|2022  |2,237    |Daniel Noel Drinkwater|       |                         |api_football|2288         |
|39                |Premier League|2022  |2,228    |David Raya            |       |                         |api_football|19465        |
|39                |Premier League|2022  |2,245    |D. Corness            |       |                         |api_football|284253       |
|39                |Premier League|2022  |2,227    |D. Henderson          |       |                         |api_football|19088        |
|39                |Premier League|2022  |2,254    |D. Ouattara           |       |                         |api_football|284797       |
|39                |Premier League|2022  |2,217    |D. Rankine            |       |                         |api_football|162114       |
|39                |Premier League|2022  |2,229    |E. Eze                |       |                         |api_football|19586        |
|39                |Premier League|2022  |2,265    |E. Nwaneri            |       |                         |api_football|313236       |
|39                |Premier League|2022  |2,291    |Fábio Vieira          |       |                         |api_football|41725        |
|39                |Premier League|2022  |2,216    |F. Burns              |       |                         |api_football|158696       |
|39                |Premier League|2022  |2,305    |F. Delph              |       |                         |api_football|630          |
|39                |Premier League|2022  |2,235    |Gabriel Magalhães     |       |                         |api_football|22224        |
