|sport|provider             |entity  |provider_role  |structure_status |provider_status    |build_mode          |next_build_step               |rows_count|
|DRT  |api_darts            |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|DRT  |api_darts            |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|ESP  |api_esports          |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|ESP  |api_esports          |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|ESP  |api_esports          |leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|ESP  |api_esports          |odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|ESP  |api_esports          |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|ESP  |api_esports          |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|FB   |api_football         |coaches |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1,219     |
|FB   |api_football         |coaches |PEOPLE_PROVIDER|STRUCTURE_REVIEW |REVIEW_PROVIDER    |MANUAL_REVIEW       |MANUAL_REVIEW                 |1,217     |
|FB   |api_football         |fixtures|CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |ALIGN_TO_REFERENCE_CORE       |1,217     |
|FB   |api_football         |fixtures|CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1,219     |
|FB   |api_football         |leagues |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |ALIGN_TO_REFERENCE_CORE       |1,217     |
|FB   |api_football         |leagues |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1,219     |
|FB   |api_football         |odds    |ODDS_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |KEEP_MATCH_LINK_READY         |1,217     |
|FB   |api_football         |odds    |ODDS_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1,219     |
|FB   |api_football         |players |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1,219     |
|FB   |api_football         |players |PEOPLE_PROVIDER|STRUCTURE_READY  |PROVIDER_LIMITED   |PREPARE_ALT_PROVIDER|DEFINE_ALT_PEOPLE_PROVIDER    |1,217     |
|FB   |api_football         |teams   |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |ALIGN_TO_REFERENCE_CORE       |1,217     |
|FB   |api_football         |teams   |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1,219     |
