|sport|provider             |entity  |status    |rows_count|enabled_rows|rows_with_data|fixtures_count|teams_count|odds_count|players_count|coaches_count|last_job_started_at          |last_job_success_at|
|FB   |api_football         |leagues |tech_ready|50        |50          |50            |9,538         |615        |0         |922          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |leagues |planned   |1,167     |1,167       |1,167         |18,040        |863        |0         |131          |0            |                             |                   |
|FB   |api_football         |leagues |disabled  |1,219     |0           |1,219         |19,846        |1,003      |0         |905          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |odds    |tech_ready|50        |50          |0             |9,538         |615        |0         |922          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |odds    |planned   |1,167     |1,167       |0             |18,040        |863        |0         |131          |0            |                             |                   |
|FB   |api_football         |odds    |disabled  |1,219     |0           |0             |19,846        |1,003      |0         |905          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |players |tech_ready|50        |50          |23            |9,538         |615        |0         |922          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |players |planned   |1,167     |1,167       |9             |18,040        |863        |0         |131          |0            |                             |                   |
|FB   |api_football         |players |disabled  |1,219     |0           |35            |19,846        |1,003      |0         |905          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |teams   |tech_ready|50        |50          |38            |9,538         |615        |0         |922          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |teams   |planned   |1,167     |1,167       |83            |18,040        |863        |0         |131          |0            |                             |                   |
|FB   |api_football         |teams   |disabled  |1,219     |0           |77            |19,846        |1,003      |0         |905          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_sport            |coaches |disabled  |792       |0           |0             |610           |0          |0         |0            |0            |                             |                   |
|FB   |api_sport            |fixtures|disabled  |792       |0           |167           |610           |0          |0         |0            |0            |                             |                   |
|FB   |api_sport            |leagues |disabled  |792       |0           |0             |610           |0          |0         |0            |0            |                             |                   |
|FB   |api_sport            |odds    |disabled  |792       |0           |0             |610           |0          |0         |0            |0            |                             |                   |
|FB   |api_sport            |players |disabled  |792       |0           |0             |610           |0          |0         |0            |0            |                             |                   |
|FB   |api_sport            |teams   |disabled  |792       |0           |0             |610           |0          |0         |0            |0            |                             |                   |
|FB   |football_data        |coaches |planned   |10        |10          |0             |3,151         |321        |49,599    |20           |0            |                             |                   |
|FB   |football_data        |coaches |disabled  |16        |0           |0             |629           |136        |12,376    |0            |0            |                             |                   |
|FB   |football_data        |fixtures|planned   |10        |10          |10            |3,151         |321        |49,599    |20           |0            |                             |                   |
|FB   |football_data        |fixtures|disabled  |16        |0           |4             |629           |136        |12,376    |0            |0            |                             |                   |
|FB   |football_data        |leagues |planned   |10        |10          |10            |3,151         |321        |49,599    |20           |0            |                             |                   |
|FB   |football_data        |leagues |disabled  |16        |0           |16            |629           |136        |12,376    |0            |0            |                             |                   |
|FB   |football_data        |odds    |planned   |10        |10          |9             |3,151         |321        |49,599    |20           |0            |                             |                   |
|FB   |football_data        |odds    |disabled  |16        |0           |3             |629           |136        |12,376    |0            |0            |                             |                   |
|FB   |football_data        |players |planned   |10        |10          |3             |3,151         |321        |49,599    |20           |0            |                             |                   |
|FB   |football_data        |players |disabled  |16        |0           |0             |629           |136        |12,376    |0            |0            |                             |                   |
|FB   |football_data        |teams   |planned   |10        |10          |10            |3,151         |321        |49,599    |20           |0            |                             |                   |
|FB   |football_data        |teams   |disabled  |16        |0           |4             |629           |136        |12,376    |0            |0            |                             |                   |
