"file_name","full_path","folder","sport","entity","role"
"pull_api_hockey_leagues.ps1","C:\MatchMatrix-platform\ingest\API-Hockey\pull_api_hockey_leagues.ps1","C:\MatchMatrix-platform\ingest","HK","leagues","pull"
"pull_api_hockey_players.ps1","C:\MatchMatrix-platform\ingest\API-Hockey\pull_api_hockey_players.ps1","C:\MatchMatrix-platform\ingest","HK","players","pull"
"pull_api_hockey_teams.ps1","C:\MatchMatrix-platform\ingest\API-Hockey\pull_api_hockey_teams.ps1","C:\MatchMatrix-platform\ingest","HK","teams","pull"
"parse_api_rugby_fixtures_to_staging.py","C:\MatchMatrix-platform\ingest\API-Rugby\parse_api_rugby_fixtures_to_staging.py","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","parser"
"parse_api_tennis_fixtures_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\parse_api_tennis_fixtures_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","parser"
"pull_api_cricket_fixtures_v1.py","C:\MatchMatrix-platform\ingest\API-Cricket\pull_api_cricket_fixtures_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","pull"
"pull_api_rugby_fixtures.ps1","C:\MatchMatrix-platform\ingest\API-Rugby\pull_api_rugby_fixtures.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","pull"
"pull_api_sport_fixtures.ps1","C:\MatchMatrix-platform\ingest\API-Sport\pull_api_sport_fixtures.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","pull"
"pull_api_tennis_fixtures_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\pull_api_tennis_fixtures_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","pull"
"run_predict_matches_V3.bat","C:\MatchMatrix-platform\ingest\run_predict_matches_V3.bat","C:\MatchMatrix-platform\ingest","UNKNOWN","fixtures","runner"
"run_parse_api_sport_fixtures_v1.py","C:\MatchMatrix-platform\workers\run_parse_api_sport_fixtures_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","fixtures","runner"
