|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|ops|ingest_runtime_config|11|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|ingest_runtime_config|12|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|ingest_targets|1|id|bigint|int8|NO|nextval('ops.ingest_targets_id_seq'::regclass)|
|ops|ingest_targets|2|sport_code|text|text|NO||
|ops|ingest_targets|3|canonical_league_id|bigint|int8|NO||
|ops|ingest_targets|4|provider|text|text|NO||
|ops|ingest_targets|5|provider_league_id|text|text|NO||
|ops|ingest_targets|6|season|text|text|NO|''::text|
|ops|ingest_targets|7|enabled|boolean|bool|NO|true|
|ops|ingest_targets|8|tier|integer|int4|NO|1|
|ops|ingest_targets|9|fixtures_days_back|integer|int4|NO|7|
|ops|ingest_targets|10|fixtures_days_forward|integer|int4|NO|14|
|ops|ingest_targets|11|odds_days_forward|integer|int4|NO|3|
|ops|ingest_targets|12|max_requests_per_run|integer|int4|YES||
|ops|ingest_targets|13|notes|text|text|YES||
|ops|ingest_targets|14|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|ingest_targets|15|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|ingest_targets|16|run_group|text|text|YES||
|ops|job_runs|1|id|bigint|int8|NO|nextval('ops.job_runs_id_seq'::regclass)|
|ops|job_runs|2|job_code|text|text|NO||
|ops|job_runs|3|started_at|timestamp with time zone|timestamptz|NO|now()|
|ops|job_runs|4|finished_at|timestamp with time zone|timestamptz|YES||
|ops|job_runs|5|status|text|text|NO|'running'::text|
|ops|job_runs|6|params|jsonb|jsonb|NO|'{}'::jsonb|
|ops|job_runs|7|message|text|text|YES||
|ops|job_runs|8|details|jsonb|jsonb|NO|'{}'::jsonb|
|ops|job_runs|9|api_import_run_id|bigint|int8|YES||
|ops|job_runs|10|rows_affected|bigint|int8|YES||
|ops|job_runs|11|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|jobs|1|code|text|text|NO||
|ops|jobs|2|name|text|text|NO||
|ops|jobs|3|description|text|text|YES||
|ops|jobs|4|recommended|text|text|YES||
|ops|jobs|5|enabled|boolean|bool|NO|true|
|ops|jobs|6|default_params|jsonb|jsonb|NO|'{}'::jsonb|
|ops|jobs|7|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|jobs|8|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|league_import_plan|1|provider|text|text|NO||
|ops|league_import_plan|2|provider_league_id|text|text|NO||
|ops|league_import_plan|3|sport_code|text|text|NO|'football'::text|
|ops|league_import_plan|4|season|text|text|NO|''::text|
|ops|league_import_plan|5|enabled|boolean|bool|NO|true|
|ops|league_import_plan|6|tier|integer|int4|NO|1|
|ops|league_import_plan|7|fixtures_days_back|integer|int4|NO|7|
|ops|league_import_plan|8|fixtures_days_forward|integer|int4|NO|14|
|ops|league_import_plan|9|odds_days_forward|integer|int4|NO|3|
|ops|league_import_plan|10|max_requests_per_run|integer|int4|YES||
|ops|league_import_plan|11|notes|text|text|YES||
|ops|league_import_plan|12|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|league_import_plan|13|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|player_enrichment_plan|1|id|bigint|int8|NO|nextval('ops.player_enrichment_plan_id_seq'::regclass)|
|ops|player_enrichment_plan|2|provider|text|text|NO||
|ops|player_enrichment_plan|3|sport_code|text|text|NO|'football'::text|
|ops|player_enrichment_plan|4|entity|text|text|NO|'player_profile'::text|
|ops|player_enrichment_plan|5|player_id|bigint|int8|YES||
|ops|player_enrichment_plan|6|source_provider|text|text|YES||
|ops|player_enrichment_plan|7|source_external_player_id|text|text|YES||
|ops|player_enrichment_plan|8|external_team_id|text|text|YES||
|ops|player_enrichment_plan|9|external_league_id|text|text|YES||
|ops|player_enrichment_plan|10|season|text|text|YES||
|ops|player_enrichment_plan|11|run_group|text|text|YES||
|ops|player_enrichment_plan|12|priority|integer|int4|NO|50|
|ops|player_enrichment_plan|13|status|text|text|NO|'pending'::text|
|ops|player_enrichment_plan|14|attempts|integer|int4|NO|0|
|ops|player_enrichment_plan|15|next_run|timestamp with time zone|timestamptz|YES|now()|
|ops|player_enrichment_plan|16|last_error|text|text|YES||
|ops|player_enrichment_plan|17|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|player_enrichment_plan|18|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_accounts|1|id|bigint|int8|NO|nextval('ops.provider_accounts_id_seq'::regclass)|
|ops|provider_accounts|2|provider|text|text|NO||
|ops|provider_accounts|3|account_name|text|text|NO||
|ops|provider_accounts|4|plan_code|text|text|NO||
|ops|provider_accounts|5|is_active|boolean|bool|NO|true|
|ops|provider_accounts|6|daily_limit_total|integer|int4|YES||
|ops|provider_accounts|7|daily_limit_per_sport|integer|int4|YES||
|ops|provider_accounts|8|safety_reserve_pct|numeric|numeric|NO|10.00|
|ops|provider_accounts|9|api_base_url|text|text|YES||
|ops|provider_accounts|10|notes|text|text|YES||
|ops|provider_accounts|11|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_accounts|12|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_coaches_runtime_checklist|1|id|bigint|int8|NO|nextval('ops.provider_coaches_runtime_checklist_id_seq'::regclass)|
|ops|provider_coaches_runtime_checklist|2|provider|text|text|NO||
|ops|provider_coaches_runtime_checklist|3|sport_code|text|text|NO||
|ops|provider_coaches_runtime_checklist|4|endpoint_name|text|text|NO||
|ops|provider_coaches_runtime_checklist|5|priority_rank|integer|int4|NO||
|ops|provider_coaches_runtime_checklist|6|check_scope|text|text|NO||
|ops|provider_coaches_runtime_checklist|7|check_status|text|text|NO|'pending'::text|
|ops|provider_coaches_runtime_checklist|8|test_note|text|text|YES||
|ops|provider_coaches_runtime_checklist|9|next_step|text|text|YES||
