|id   |sport_code|canonical_league_id|provider    |provider_league_id|season|enabled|tier|run_group      |fixtures_days_back|fixtures_days_forward|max_requests_per_run|updated_at                   |
|-----|----------|-------------------|------------|------------------|------|-------|----|---------------|------------------|---------------------|--------------------|-----------------------------|
|3,823|FB        |20,846             |api_football|659               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,307|FB        |20,847             |api_football|884               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,862|FB        |20,848             |api_football|4                 |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,671|FB        |20,849             |api_football|88                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,374|FB        |20,850             |api_football|21                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,488|FB        |20,851             |api_football|62                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,534|FB        |20,852             |api_football|61                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,653|FB        |20,853             |api_football|144               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,398|FB        |20,854             |api_football|71                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,635|FB        |20,855             |api_football|39                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,046|FB        |20,856             |api_football|78                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,557|FB        |20,857             |api_football|135               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,980|FB        |20,858             |api_football|94                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,773|FB        |20,859             |api_football|140               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,025|FB        |20,860             |api_football|179               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,622|FB        |20,861             |api_football|180               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,603|FB        |20,862             |api_football|1                 |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,738|FB        |20,863             |api_football|803               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,403|FB        |20,864             |api_football|45                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,551|FB        |20,865             |api_football|530               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,494|FB        |20,866             |api_football|804               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,585|FB        |20,867             |api_football|390               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,756|FB        |20,868             |api_football|261               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,411|FB        |20,869             |api_football|306               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,107|FB        |20,870             |api_football|305               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,461|FB        |20,871             |api_football|40                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,658|FB        |20,872             |api_football|46                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,555|FB        |20,873             |api_football|47                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,688|FB        |20,874             |api_football|48                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,538|FB        |20,875             |api_football|43                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,848|FB        |20,876             |api_football|41                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,255|FB        |20,877             |api_football|42                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,229|FB        |20,878             |api_football|568               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,188|FB        |20,879             |api_football|571               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,157|FB        |20,880             |api_football|586               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,154|FB        |20,881             |api_football|588               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,568|FB        |20,882             |api_football|591               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,595|FB        |20,883             |api_football|335               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,777|FB        |20,884             |api_football|336               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,599|FB        |20,885             |api_football|334               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,997|FB        |20,886             |api_football|333               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,600|FB        |20,887             |api_football|301               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,006|FB        |20,888             |api_football|303               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,285|FB        |20,889             |api_football|302               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,685|FB        |20,890             |api_football|269               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,783|FB        |20,891             |api_football|202               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,425|FB        |20,892             |api_football|203               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,743|FB        |20,893             |api_football|204               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,299|FB        |20,894             |api_football|205               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,514|FB        |20,895             |api_football|206               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,690|FB        |20,896             |api_football|552               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,217|FB        |20,897             |api_football|553               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,594|FB        |20,898             |api_football|554               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,612|FB        |20,899             |api_football|63                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,776|FB        |20,900             |api_football|66                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,532|FB        |20,901             |api_football|65                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,404|FB        |20,902             |api_football|67                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,790|FB        |20,903             |api_football|68                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
