|id   |provider        |sport_code|entity  |provider_league_id|season|run_group           |priority|status |attempts|last_attempt                 |next_run                     |created_at                   |updated_at                   |
|-----|----------------|----------|--------|------------------|------|--------------------|--------|-------|--------|-----------------------------|-----------------------------|-----------------------------|-----------------------------|
|1,233|api_football    |FB        |odds    |179               |2022  |FB_API_EXPANSION    |20      |skipped|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-23 16:10:34.126 +0100|
|1,094|api_hockey      |HK        |odds    |146               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,095|api_hockey      |HK        |players |146               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,100|api_hockey      |HK        |odds    |224               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,101|api_hockey      |HK        |players |224               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,103|api_hockey      |HK        |leagues |214               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,106|api_hockey      |HK        |odds    |214               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,107|api_hockey      |HK        |players |214               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,109|api_hockey      |HK        |leagues |236               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,112|api_hockey      |HK        |odds    |236               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,113|api_hockey      |HK        |players |236               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,115|api_hockey      |HK        |leagues |110               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,118|api_hockey      |HK        |odds    |110               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,119|api_hockey      |HK        |players |110               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,121|api_hockey      |HK        |leagues |142               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,124|api_hockey      |HK        |odds    |142               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,125|api_hockey      |HK        |players |142               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,126|api_hockey      |HK        |coaches |142               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,127|api_hockey      |HK        |leagues |265               |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,130|api_hockey      |HK        |odds    |265               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,131|api_hockey      |HK        |players |265               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,132|api_hockey      |HK        |coaches |265               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
