|id    |name                                         |ext_league_id|
|24,942|Starligue                                    |34           |
|24,915|Suomen Cup                                   |205          |
|25,070|Suomen Cup Women                             |206          |
|24,950|Supercopa                                    |106          |
|24,991|Supercopa Iberica                            |202          |
|25,010|Supercopa Iberica Women                      |203          |
|24,958|Supercopa Women                              |109          |
|24,927|Supercup                                     |5            |
|24,914|Supercup                                     |95           |
|25,043|Super Cup                                    |208          |
|24,909|Super Cup                                    |40           |
|25,024|Super Cup                                    |123          |
|25,082|Super Cup                                    |83           |
|24,998|Super Cup                                    |119          |
|25,073|Super Cup                                    |17           |
|25,032|Supercup Women                               |94           |
|24,923|Super Cup Women                              |46           |
|24,932|Super Cup Women                              |209          |
|25,004|Super Cup Women                              |124          |
|24,977|Super Cup Women                              |18           |
|24,884|Super Cup Women                              |130          |
|25,044|Super Globe                                  |163          |
|24,960|Super Globe Women                            |164          |
|24,954|Superleague                                  |122          |
|25,000|Superleague                                  |91           |
|25,052|Superleague                                  |37           |
|25,064|Superleague Women                            |92           |
|24,994|Superleague Women                            |38           |
|24,975|Superlig                                     |120          |
|25,066|Superliga                                    |78           |
|25,063|Superliga                                    |97           |
|25,079|Superliga Women                              |210          |
|24,974|Superliga Women                              |77           |
|25,085|Superlig Women                               |121          |
|24,945|Swedish Cup                                  |128          |
|25,078|Swedish Cup Women                            |129          |
|24,935|SynotTip Virsliga                            |60           |
|24,969|Taca de Portugal                             |86           |
|24,899|Trophee des Champions                        |33           |
|24,924|WHA Women                                    |1            |
|25,058|World Championship                           |153          |
|25,034|World Championship U18 Women                 |158          |
|24,986|World Championship U19                       |162          |
|24,988|World Championship U20 Women                 |157          |
|25,068|World Championship U21                       |159          |
|25,072|World Championship Women                     |154          |
