|external_team_id|in_stg_provider_teams|in_team_provider_map|
|4505            |0                    |0                   |
|4506            |0                    |0                   |
|4507            |0                    |0                   |
|4513            |0                    |0                   |
|452             |0                    |0                   |
|4528            |0                    |0                   |
|4529            |0                    |0                   |
|4543            |0                    |0                   |
|4544            |0                    |0                   |
|4545            |0                    |0                   |
|4548            |0                    |0                   |
|4591            |0                    |0                   |
|4593            |0                    |0                   |
|461             |0                    |0                   |
|4619            |0                    |0                   |
|4628            |0                    |0                   |
|4630            |0                    |0                   |
|4658            |0                    |0                   |
|534             |0                    |0                   |
|541             |0                    |0                   |
|608             |0                    |0                   |
|609             |0                    |0                   |
|611             |0                    |0                   |
|62              |0                    |0                   |
|620             |0                    |0                   |
|621             |0                    |0                   |
|624             |0                    |0                   |
|627             |0                    |0                   |
|632             |0                    |0                   |
|634             |0                    |0                   |
|637             |0                    |0                   |
|640             |0                    |0                   |
|643             |0                    |0                   |
|647             |0                    |0                   |
|654             |0                    |0                   |
|655             |0                    |0                   |
|656             |0                    |0                   |
|663             |0                    |0                   |
|664             |0                    |0                   |
|666             |0                    |0                   |
|674             |0                    |0                   |
|675             |0                    |0                   |
|679             |0                    |0                   |
|681             |0                    |0                   |
|682             |0                    |0                   |
|686             |0                    |0                   |
|688             |0                    |0                   |
|689             |0                    |0                   |
|690             |0                    |0                   |
|695             |0                    |0                   |
|697             |0                    |0                   |
|738             |0                    |0                   |
|739             |0                    |0                   |
|75              |0                    |0                   |
|752             |0                    |0                   |
|768             |0                    |0                   |
|784             |0                    |0                   |
|787             |0                    |0                   |
|789             |0                    |0                   |
|790             |0                    |0                   |
|793             |0                    |0                   |
|798             |0                    |0                   |
|808             |0                    |0                   |
|812             |0                    |0                   |
|813             |0                    |0                   |
|825             |0                    |0                   |
|827             |0                    |0                   |
|834             |0                    |0                   |
|835             |0                    |0                   |
|836             |0                    |0                   |
|837             |0                    |0                   |
|839             |0                    |0                   |
|84              |0                    |0                   |
|842             |0                    |0                   |
|844             |0                    |0                   |
|848             |0                    |0                   |
|850             |0                    |0                   |
|858             |0                    |0                   |
|859             |0                    |0                   |
|86              |0                    |0                   |
|860             |0                    |0                   |
|862             |0                    |0                   |
|864             |0                    |0                   |
|88              |0                    |0                   |
|884             |0                    |0                   |
|885             |0                    |0                   |
|886             |0                    |0                   |
|895             |0                    |0                   |
|93              |0                    |0                   |
|932             |0                    |0                   |
|940             |0                    |0                   |
|959             |0                    |0                   |
|960             |0                    |0                   |
|965             |0                    |0                   |
|969             |0                    |0                   |
|970             |0                    |0                   |
|971             |0                    |0                   |
|984             |0                    |0                   |
|987             |0                    |0                   |
