|id   |sport_code|canonical_league_id|provider    |provider_league_id|season|enabled|tier|run_group|notes                                                                                                                                                     |
|-----|----------|-------------------|------------|------------------|------|-------|----|---------|----------------------------------------------------------------------------------------------------------------------------------------------------------|
|5,030|HB        |24,911             |api_handball|43                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,031|HB        |24,990             |api_handball|44                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,032|HB        |25,059             |api_handball|45                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,033|HB        |24,923             |api_handball|46                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,034|HB        |24,940             |api_handball|47                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,035|HB        |24,948             |api_handball|48                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,036|HB        |24,987             |api_handball|49                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,038|HB        |24,961             |api_handball|50                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,039|HB        |25,019             |api_handball|51                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,040|HB        |24,970             |api_handball|52                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,041|HB        |25,003             |api_handball|53                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,042|HB        |25,055             |api_handball|54                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,043|HB        |25,083             |api_handball|55                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,044|HB        |24,979             |api_handball|56                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,045|HB        |25,027             |api_handball|57                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,046|HB        |24,981             |api_handball|58                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,047|HB        |24,983             |api_handball|59                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,049|HB        |24,935             |api_handball|60                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,050|HB        |24,908             |api_handball|61                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,051|HB        |24,931             |api_handball|62                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,052|HB        |24,976             |api_handball|63                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,053|HB        |24,938             |api_handball|64                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,054|HB        |24,886             |api_handball|65                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,055|HB        |25,051             |api_handball|66                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,056|HB        |25,087             |api_handball|67                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,057|HB        |24,897             |api_handball|68                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,058|HB        |25,049             |api_handball|69                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,060|HB        |24,949             |api_handball|70                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,061|HB        |25,021             |api_handball|71                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,062|HB        |24,953             |api_handball|72                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,063|HB        |24,934             |api_handball|73                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,064|HB        |25,018             |api_handball|74                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,065|HB        |25,037             |api_handball|75                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,066|HB        |24,928             |api_handball|76                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,067|HB        |24,974             |api_handball|77                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,068|HB        |25,066             |api_handball|78                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,069|HB        |25,029             |api_handball|79                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,071|HB        |24,887             |api_handball|80                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,072|HB        |25,057             |api_handball|81                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,073|HB        |24,894             |api_handball|82                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,074|HB        |25,082             |api_handball|83                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,075|HB        |24,912             |api_handball|84                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,076|HB        |24,965             |api_handball|85                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,077|HB        |24,969             |api_handball|86                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,078|HB        |24,898             |api_handball|87                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,079|HB        |25,006             |api_handball|88                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,080|HB        |25,071             |api_handball|89                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,082|HB        |24,888             |api_handball|90                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,083|HB        |25,000             |api_handball|91                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,084|HB        |25,064             |api_handball|92                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,085|HB        |24,925             |api_handball|93                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,086|HB        |25,032             |api_handball|94                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,087|HB        |24,914             |api_handball|95                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,088|HB        |24,918             |api_handball|96                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,089|HB        |25,063             |api_handball|97                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,090|HB        |25,086             |api_handball|98                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|5,091|HB        |24,962             |api_handball|99                |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,886|HB        |25,039             |api_handball|100               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,887|HB        |24,885             |api_handball|101               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,888|HB        |25,022             |api_handball|102               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,889|HB        |24,893             |api_handball|103               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,890|HB        |24,913             |api_handball|104               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,891|HB        |25,061             |api_handball|105               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,892|HB        |24,950             |api_handball|106               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,893|HB        |24,968             |api_handball|107               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,894|HB        |24,985             |api_handball|108               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,895|HB        |24,958             |api_handball|109               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,897|HB        |25,089             |api_handball|110               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,898|HB        |25,062             |api_handball|111               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,899|HB        |24,890             |api_handball|112               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,900|HB        |24,892             |api_handball|113               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,901|HB        |25,025             |api_handball|114               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,902|HB        |24,946             |api_handball|115               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,903|HB        |25,048             |api_handball|116               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,904|HB        |25,075             |api_handball|117               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,905|HB        |24,955             |api_handball|118               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,906|HB        |24,998             |api_handball|119               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,908|HB        |24,975             |api_handball|120               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
|4,909|HB        |25,085             |api_handball|121               |2024  |true   |3   |HB_CORE  |HB full scope after leagues unblock | auto-expanded from public.league_provider_map                                                                       |
