|id    |name                                         |country               |ext_source  |ext_league_id|
|24,968|Copa del Rey                                 |Spain                 |api_handball|107          |
|24,985|Division de Honor Women                      |Spain                 |api_handball|108          |
|24,958|Supercopa Women                              |Spain                 |api_handball|109          |
|25,089|Copa de la Reina Women                       |Spain                 |api_handball|110          |
|25,062|Allsvenskan                                  |Sweden                |api_handball|111          |
|24,890|Allsvenskan Women                            |Sweden                |api_handball|112          |
|24,892|Handbollsligan                               |Sweden                |api_handball|113          |
|25,025|SHE Women                                    |Sweden                |api_handball|114          |
|24,946|NLA                                          |Switzerland           |api_handball|115          |
|25,048|SPL Women                                    |Switzerland           |api_handball|116          |
|25,075|Schweizer Cup                                |Switzerland           |api_handball|117          |
|24,955|Schweizer Cup Women                          |Switzerland           |api_handball|118          |
|24,998|Super Cup                                    |Switzerland           |api_handball|119          |
|24,975|Superlig                                     |Turkey                |api_handball|120          |
|25,085|Superlig Women                               |Turkey                |api_handball|121          |
|24,954|Superleague                                  |Ukraine               |api_handball|122          |
|25,024|Super Cup                                    |Italy                 |api_handball|123          |
|25,004|Super Cup Women                              |Italy                 |api_handball|124          |
|25,008|JHL                                          |Japan                 |api_handball|125          |
|25,001|JHL Women                                    |Japan                 |api_handball|126          |
|25,053|Central League                               |Poland                |api_handball|127          |
|24,945|Swedish Cup                                  |Sweden                |api_handball|128          |
|25,078|Swedish Cup Women                            |Sweden                |api_handball|129          |
|24,884|Super Cup Women                              |Switzerland           |api_handball|130          |
|24,881|Champions League                             |Europe                |api_handball|131          |
|24,919|Champions League Women                       |Europe                |api_handball|132          |
|25,065|European Championship Women                  |Europe                |api_handball|133          |
|24,951|European Championship U20                    |Europe                |api_handball|134          |
|24,905|Baltic League                                |Europe                |api_handball|135          |
|24,936|SEHA Liga                                    |Europe                |api_handball|136          |
|25,047|European Championship U19 Women              |Europe                |api_handball|137          |
|24,939|BENE-League                                  |Europe                |api_handball|138          |
|25,033|European Championship U17 Women              |Europe                |api_handball|139          |
|24,937|MOL Liga Women                               |Europe                |api_handball|140          |
|24,889|European Championship U20 B                  |Europe                |api_handball|141          |
|25,017|EHF Euro Cup                                 |Europe                |api_handball|142          |
|24,947|European Championship U19 B Women            |Europe                |api_handball|143          |
|25,077|European Championship U17 B Women            |Europe                |api_handball|144          |
|24,882|EHF European League                          |Europe                |api_handball|145          |
|24,926|EHF European League Women                    |Europe                |api_handball|146          |
|24,999|European Cup                                 |Europe                |api_handball|147          |
|25,042|European Cup Women                           |Europe                |api_handball|148          |
|25,031|IHF/EHF Trophy                               |Europe                |api_handball|149          |
|24,901|EHF Euro Cup Women                           |Europe                |api_handball|150          |
|25,002|European Championship U19                    |Europe                |api_handball|151          |
|25,005|European Championship U19 B                  |Europe                |api_handball|152          |
|25,058|World Championship                           |World                 |api_handball|153          |
|25,072|World Championship Women                     |World                 |api_handball|154          |
|24,930|Olympic Games                                |World                 |api_handball|155          |
|24,904|Olympic Games Women                          |World                 |api_handball|156          |
|24,988|World Championship U20 Women                 |World                 |api_handball|157          |
|25,034|World Championship U18 Women                 |World                 |api_handball|158          |
|25,068|World Championship U21                       |World                 |api_handball|159          |
|24,895|Mediterranean Games Women                    |World                 |api_handball|160          |
|25,090|Mediterranean Games                          |World                 |api_handball|161          |
|24,986|World Championship U19                       |World                 |api_handball|162          |
|25,044|Super Globe                                  |World                 |api_handball|163          |
|24,960|Super Globe Women                            |World                 |api_handball|164          |
|25,045|South and Central American Championship      |World                 |api_handball|165          |
|24,896|South and Central American Championship Women|World                 |api_handball|166          |
|25,011|Intersport Cup Women                         |World                 |api_handball|167          |
|25,050|IHF Emerging Nations Championship            |World                 |api_handball|168          |
|25,035|Pan American Games Women                     |World                 |api_handball|169          |
|25,012|Pan American Games                           |World                 |api_handball|170          |
|24,959|Pan American Club Championship               |World                 |api_handball|171          |
|24,917|Pan American Championship                    |World                 |api_handball|172          |
|24,973|Pan American Club Championship Women         |World                 |api_handball|173          |
|25,015|Pan American Championship Women              |World                 |api_handball|174          |
|25,013|Challenge Cup                                |Europe                |api_handball|175          |
|24,956|Challenge Cup Women                          |Europe                |api_handball|176          |
|24,907|European Championship                        |Europe                |api_handball|177          |
|24,957|EHF Cup Women                                |Europe                |api_handball|178          |
|25,084|EHF Cup                                      |Europe                |api_handball|179          |
|24,903|EHF Challenge Trophy Women                   |Europe                |api_handball|180          |
|25,038|European Championship U18 B                  |Europe                |api_handball|181          |
|24,992|Czech-Slovak Cup                             |Europe                |api_handball|182          |
|24,883|African Championship                         |Africa                |api_handball|183          |
|25,023|African Championship Women                   |Africa                |api_handball|184          |
|25,028|Asian Championship Women                     |Asia                  |api_handball|185          |
|24,972|Asian Championship                           |Asia                  |api_handball|186          |
|24,967|Asian Games                                  |Asia                  |api_handball|187          |
|24,929|Asian Games Women                            |Asia                  |api_handball|188          |
|24,978|Golden League - France Women                 |Europe                |api_handball|189          |
|24,906|Golden League - Denmark Women                |Europe                |api_handball|190          |
|24,952|Golden League - Denmark                      |Europe                |api_handball|192          |
|24,891|Golden League - Norway                       |Europe                |api_handball|193          |
|25,081|Club Friendly                                |World                 |api_handball|194          |
|25,076|Club Friendly Women                          |World                 |api_handball|195          |
|25,016|Friendly International                       |World                 |api_handball|196          |
|25,026|Friendly International Women                 |World                 |api_handball|197          |
|24,921|African Games                                |Africa                |api_handball|198          |
|25,080|African Games Women                          |Africa                |api_handball|199          |
|24,982|European Championship U18                    |Europe                |api_handball|200          |
|25,060|Golden League - France                       |Europe                |api_handball|201          |
|24,991|Supercopa Iberica                            |Europe                |api_handball|202          |
|25,010|Supercopa Iberica Women                      |Europe                |api_handball|203          |
|25,014|Golden League - Netherlands Women            |Europe                |api_handball|204          |
|24,915|Suomen Cup                                   |Finland               |api_handball|205          |
|25,070|Suomen Cup Women                             |Finland               |api_handball|206          |
|25,074|Central League Women                         |Poland                |api_handball|207          |
|25,043|Super Cup                                    |Romania               |api_handball|208          |
|24,932|Super Cup Women                              |Romania               |api_handball|209          |
|25,079|Superliga Women                              |Serbia                |api_handball|210          |
|25,091|Slovakia Cup                                 |Slovakia              |api_handball|211          |
|24,920|Slovenian Cup                                |Slovakia              |api_handball|212          |
|24,943|Posten Cup Women                             |World                 |api_handball|213          |
