|league_id|league_name                      |teams_in_league|total_players_in_league|avg_players_per_team|
|23,757   |2. Liga Interregional - Group 3  |0              |0                      |0                   |
|21,642   |2. Liga Interregional - Group 3  |0              |0                      |0                   |
|21,643   |2. Liga Interregional - Group 4  |0              |0                      |0                   |
|23,758   |2. Liga Interregional - Group 4  |0              |0                      |0                   |
|23,759   |2. Liga Interregional - Group 5  |0              |0                      |0                   |
|21,644   |2. Liga Interregional - Group 5  |0              |0                      |0                   |
|23,760   |2. Liga Interregional - Group 6  |0              |0                      |0                   |
|21,645   |2. Liga Interregional - Group 6  |0              |0                      |0                   |
|22,448   |2. Liga - North                  |0              |0                      |0                   |
|22,377   |2. Liga - Promotion Group        |0              |0                      |0                   |
|22,498   |2. Liga - Relegation Group       |0              |0                      |0                   |
|22,591   |2. Liga - South                  |0              |0                      |0                   |
|22,445   |2. Liga - West                   |0              |0                      |0                   |
|21,043   |2nd Division - Group 2           |0              |0                      |0                   |
|20,909   |2nd Division - Group A           |0              |0                      |0                   |
|23,400   |2nd Division - Group A           |0              |0                      |0                   |
|23,401   |2nd Division - Group B           |0              |0                      |0                   |
|20,910   |2nd Division - Group B           |0              |0                      |0                   |
|23,903   |2nd Division - Play-offs         |0              |0                      |0                   |
|21,789   |2nd Division - Play-offs         |0              |0                      |0                   |
|21,231   |2. SNL                           |22             |0                      |0                   |
|21,695   |3. Division                      |0              |0                      |0                   |
|21,243   |3. Division                      |0              |0                      |0                   |
|23,810   |3. Division                      |0              |0                      |0                   |
|23,733   |3. Division - Girone 1           |0              |0                      |0                   |
|21,620   |3. Division - Girone 1           |0              |0                      |0                   |
|21,613   |3. Division - Girone 2           |0              |0                      |0                   |
|23,734   |3. Division - Girone 2           |0              |0                      |0                   |
|21,614   |3. Division - Girone 3           |0              |0                      |0                   |
|23,735   |3. Division - Girone 3           |0              |0                      |0                   |
|23,736   |3. Division - Girone 4           |0              |0                      |0                   |
|21,621   |3. Division - Girone 4           |0              |0                      |0                   |
|23,737   |3. Division - Girone 5           |0              |0                      |0                   |
|21,622   |3. Division - Girone 5           |0              |0                      |0                   |
|21,623   |3. Division - Girone 6           |0              |0                      |0                   |
|23,738   |3. Division - Girone 6           |0              |0                      |0                   |
|20,964   |3. Liga                          |32             |0                      |0                   |
|23,612   |3. liga - Bratislava             |0              |0                      |0                   |
|21,497   |3. liga - Bratislava             |0              |0                      |0                   |
|23,615   |3. liga - Center                 |0              |0                      |0                   |
|21,500   |3. liga - Center                 |0              |0                      |0                   |
|23,650   |3. liga - CFL B                  |0              |0                      |0                   |
|23,614   |3. liga - East                   |0              |0                      |0                   |
|21,499   |3. liga - East                   |0              |0                      |0                   |
|22,033   |3. liga - Play-offs              |0              |0                      |0                   |
|24,147   |3. liga - Play-offs              |0              |0                      |0                   |
|23,933   |3. liga - Promotion Play-off     |0              |0                      |0                   |
|21,498   |3. liga - West                   |0              |0                      |0                   |
|23,613   |3. liga - West                   |0              |0                      |0                   |
|23,397   |3. Lig - Group 1                 |0              |0                      |0                   |
|20,896   |3. Lig - Group 1                 |0              |0                      |0                   |
|23,398   |3. Lig - Group 2                 |0              |0                      |0                   |
|20,897   |3. Lig - Group 2                 |0              |0                      |0                   |
|20,898   |3. Lig - Group 3                 |0              |0                      |0                   |
|23,399   |3. Lig - Group 3                 |0              |0                      |0                   |
|23,987   |3. Lig - Group 4                 |0              |0                      |0                   |
|21,874   |3. Lig - Group 4                 |0              |0                      |0                   |
|23,931   |3. Lig - Play-offs               |0              |0                      |0                   |
|21,776   |3. Lig - Play-offs               |0              |0                      |0                   |
|23,753   |3. SNL - East                    |0              |0                      |0                   |
|21,638   |3. SNL - East                    |0              |0                      |0                   |
|23,754   |3. SNL - West                    |0              |0                      |0                   |
|21,639   |3. SNL - West                    |0              |0                      |0                   |
|21,310   |4. liga - Divizie A              |0              |0                      |0                   |
|21,311   |4. liga - Divizie B              |0              |0                      |0                   |
|21,312   |4. liga - Divizie C              |0              |0                      |0                   |
|21,313   |4. liga - Divizie D              |0              |0                      |0                   |
|21,314   |4. liga - Divizie E              |0              |0                      |0                   |
|23,651   |4. liga - Divizie F              |0              |0                      |0                   |
|21,535   |4. liga - Divizie F              |0              |0                      |0                   |
|23,544   |8 Cup                            |0              |0                      |0                   |
|21,396   |8 Cup                            |0              |0                      |0                   |
|24,703   |A1                               |0              |0                      |0                   |
|23,159   |A1 Women                         |0              |0                      |0                   |
|24,550   |A1 Women                         |0              |0                      |0                   |
|23,160   |A2                               |0              |0                      |0                   |
|23,183   |A2 East                          |0              |0                      |0                   |
|23,180   |A2 - Play Offs                   |0              |0                      |0                   |
|23,181   |A2 - Play Out                    |0              |0                      |0                   |
|23,182   |A2 - West                        |0              |0                      |0                   |
|23,161   |A2 Women                         |0              |0                      |0                   |
|23,073   |ABA League                       |0              |0                      |0                   |
|23,074   |ABA League 2                     |0              |0                      |0                   |
|23,075   |ABA Supercup                     |0              |0                      |0                   |
|23,018   |ABL                              |0              |0                      |0                   |
|22,980   |ABL                              |0              |0                      |0                   |
|23,293   |ACB                              |0              |0                      |0                   |
|23,327   |ACBU Superleague                 |0              |0                      |0                   |
|23,415   |Acreano                          |0              |0                      |0                   |
|21,038   |Acreano                                     |0              |0                      |0                   |
|23,076   |Acropolis Tournament                        |0              |0                      |0                   |
|21,411   |A Division                                  |0              |0                      |0                   |
